"﻿""title""",totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,ai_result,processing_cost,model_used,processed_at
Schroeder Legacy Lawn Care,5.0,1,,,,,https://schroederlegacylawn.onuniverse.com/,(940) 337-5326,Lawn care service,https://www.google.com/maps/search/?api=1&query=Schroeder%20Legacy%20Lawn%20Care&query_place_id=ChIJifZHWuSLF6ARaNCnqquw5_U,"Hey, saw gabe's heating — love that you're keeping homes cozy in winter. It's nice to see a local business focused on quality and affordability. Figured I'd reach out.",0.0001413,gpt-4o-mini-2024-07-18,2025-11-08T13:42:49.263563
New Life Landscape,4.5,8,305 S Georgia St,Amarillo,Texas,US,http://sprinklerrepairamarillo.com/,(806) 373-5575,Landscaper,https://www.google.com/maps/search/?api=1&query=New%20Life%20Landscape&query_place_id=ChIJGbbQKwhPAYcRAXGu40eS_iA,"Hey, saw gabe's heating — love that you keep things cozy for folks in winter. It's cool to see a local business focused on quality service. Figured I'd reach out.",0.00014189999999999998,gpt-4o-mini-2024-07-18,2025-11-08T13:42:50.664504
Verde Landscape Companies,4.4,30,6650 Canyon Dr Unit 4,Amarillo,Texas,US,http://www.verdelandscape.com/,(844) 998-3733,Landscape designer,https://www.google.com/maps/search/?api=1&query=Verde%20Landscape%20Companies&query_place_id=ChIJDcS4fi5IB4cRak0xqZN08zM,"Hey, saw gabe's heating — love that you're keeping homes cozy in the winter chill. It's great to see a local business focused on quality and comfort. Figured I'd reach out.",0.0001425,gpt-4o-mini-2024-07-18,2025-11-08T13:42:52.185985
Superior Quality Lawn And Landscape,4.8,60,,,,,https://superiorqualitylandscaping.com/,(806) 626-2750,Landscaper,https://www.google.com/maps/search/?api=1&query=Superior%20Quality%20Lawn%20And%20Landscape&query_place_id=ChIJhdyCOEZOAYcRmXXzg9wZK_s,"Hey, saw gabe's heating — love that you're keeping homes cozy in winter. It’s nice to see a local business focused on quality service. Figured I'd reach out.",0.0001413,gpt-4o-mini-2024-07-18,2025-11-08T13:42:53.382271
Mean Green Lawn and Tree service,4.5,33,,,,,http://www.meangreenls.com/,(940) 444-6525,Lawn care service,https://www.google.com/maps/search/?api=1&query=Mean%20Green%20Lawn%20and%20Tree%20service&query_place_id=ChIJ_1Mko5chU4YRn-l8sGojjl0,"Hey, saw gabe's heating — love that you're keeping homes cozy in winter. It's great to see a local business focused on quality service. Figured I'd reach out.",0.0001407,gpt-4o-mini-2024-07-18,2025-11-08T13:42:54.574268
SJH Landscape,5.0,36,,,,,http://sjhlandscape.com/,(806) 440-7583,Landscaper,https://www.google.com/maps/search/?api=1&query=SJH%20Landscape&query_place_id=ChIJIbOjvdxLZ00RXoONOESl9jE,"Hey, saw gabe's heating — love that you're keeping homes cozy in winter. It's nice to see a local business focused on quality and affordability. Figured I'd reach out.",0.0001413,gpt-4o-mini-2024-07-18,2025-11-08T13:42:55.521100
TX Elite Repair & Service LLC,5.0,26,3345 Spur 24,Dalhart,Texas,US,http://txelite.net/,(806) 418-5505,Truck repair shop,https://www.google.com/maps/search/?api=1&query=TX%20Elite%20Repair%20%26%20Service%20LLC&query_place_id=ChIJ0Uybh563BYcRWOMh2vPCbpo,"Hey, saw gabe's heating — love that you keep things cozy in the winter. It’s nice to see a local business focused on quality and affordable pricing. Figured I'd reach out.",0.0001431,gpt-4o-mini-2024-07-18,2025-11-08T13:42:56.828308
Anchored Lawncare LLC,5.0,5,1037 City View Dr F,Wichita Falls,Texas,US,https://www.anchoredlawncarellc.com/,(469) 579-8841,Lawn care service,https://www.google.com/maps/search/?api=1&query=Anchored%20Lawncare%20LLC&query_place_id=ChIJ9fxny54hU4YRyQsvjOUfFwY,"Hey, saw gabe's heating — love that you keep things cozy for folks in winter. It's cool to see a local business focused on quality and comfort. Figured I'd reach out.",0.0001425,gpt-4o-mini-2024-07-18,2025-11-08T13:42:58.337521
"Gabe's Heating and Air, LLC",5.0,49,1405 David Ln,Dalhart,Texas,US,https://www.gabesair.com/,(806) 333-9213,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Gabe's%20Heating%20and%20Air%2C%20LLC&query_place_id=ChIJTRBTge491wIRMDf-YrMY--0,"Hey, saw gabe's heating — love that you keep things cozy in winter. It's great to see a local business focusing on affordable comfort. Figured I'd reach out.",0.0001407,gpt-4o-mini-2024-07-18,2025-11-08T13:42:59.864250
Terra Landscape,5.0,3,2305 Brook Hollow Dr,Wichita Falls,Texas,US,https://www.terralandscapetx.com/,(940) 500-4105,Landscape architect,https://www.google.com/maps/search/?api=1&query=Terra%20Landscape&query_place_id=ChIJfeRLQsjSBoMR8pEVDMS6OOo,"Hey, saw gabe's heating — love that you keep things cozy in the winter. It's nice to see a local business focused on quality and affordability. Figured I'd reach out.",0.00014189999999999998,gpt-4o-mini-2024-07-18,2025-11-08T13:43:01.469604
