INFO:__main__:Loading input file: data/processed/texas_hvac_for_email_scraping.csv
INFO:__main__:Starting parallel processing with 30 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/texas_hvac_for_email_scraping.csv
Output file:       data/processed/texas_hvac_with_emails.csv
Total URLs:        321
Mode:              custom
Workers:           30

Configuration:
  Check static:    False
  Extract emails:  True
  Extract phones:  False
  Scrape mode:     smart
  AI analysis:     False

Estimated time:    2.2 min (133.8 sec)
================================================================================

[1/321] 0.3% | ETA: 8.2min | Speed: 0.7 items/sec | http://www.freedomairrepair.com/?utm_source=google - http_error_202
[2/321] 0.6% | ETA: 4.9min | Speed: 1.1 items/sec | https://parsonsheatingandair.com/                  - http_error_202
[3/321] 0.9% | ETA: 12.6min | Speed: 0.4 items/sec | https://alphahvac.site/                            - success
[4/321] 1.2% | ETA: 11.0min | Speed: 0.5 items/sec | https://texastechsheatingandair.com/               - success
[5/321] 1.6% | ETA: 8.8min | Speed: 0.6 items/sec | http://sherlockhomesac.tech/                       - success
[6/321] 1.9% | ETA: 7.7min | Speed: 0.7 items/sec | http://absolutecomfortmechanical.com/              - success
[7/321] 2.2% | ETA: 7.5min | Speed: 0.7 items/sec | https://bluelineac.net/                            - success
[8/321] 2.5% | ETA: 6.6min | Speed: 0.8 items/sec | https://www.tri-cityac.com/                        - success
[9/321] 2.8% | ETA: 6.3min | Speed: 0.8 items/sec | http://gabespriorityac.com/                        - success
[10/321] 3.1% | ETA: 5.7min | Speed: 0.9 items/sec | https://aireserv.com/central-west-houston/?cid=LST - http_error_403
[11/321] 3.4% | ETA: 5.5min | Speed: 0.9 items/sec | https://allaboutacandheating.com/                  - success
[12/321] 3.7% | ETA: 5.6min | Speed: 0.9 items/sec | http://www.comforttechsac.com/                     - success
[13/321] 4.0% | ETA: 5.5min | Speed: 0.9 items/sec | https://www.du-west.com/ac-and-heating?utm_source= - success
[14/321] 4.4% | ETA: 5.2min | Speed: 1.0 items/sec | https://www.servewayhvac.com/?utm_source=google&ut - success
[15/321] 4.7% | ETA: 4.8min | Speed: 1.1 items/sec | http://www.acdoctorstx.com/                        - success
[16/321] 5.0% | ETA: 4.7min | Speed: 1.1 items/sec | http://www.aceairconditioningabilene.com/          - success
[17/321] 5.3% | ETA: 4.8min | Speed: 1.1 items/sec | https://premierpros.us/?utm_campaign=gmb           - success
[18/321] 5.6% | ETA: 4.5min | Speed: 1.1 items/sec | https://anytimeairtexas.com/                       - success
[19/321] 5.9% | ETA: 4.3min | Speed: 1.2 items/sec | https://www.bellaireair.com/?utm_source=google&utm - success
[20/321] 6.2% | ETA: 4.2min | Speed: 1.2 items/sec | https://www.q1es.com/                              - success
[21/321] 6.5% | ETA: 4.0min | Speed: 1.3 items/sec | https://www.normanaire.com/                        - success
[22/321] 6.9% | ETA: 3.9min | Speed: 1.3 items/sec | http://olympuselectricandair.com/                  - success
[23/321] 7.2% | ETA: 3.8min | Speed: 1.3 items/sec | https://www.hagenrg.com/                           - success
[24/321] 7.5% | ETA: 3.7min | Speed: 1.3 items/sec | http://www.gilbertsac.com/?utm_campaign=gmb        - success
[25/321] 7.8% | ETA: 3.5min | Speed: 1.4 items/sec | https://www.metroacs.com/                          - success
[26/321] 8.1% | ETA: 3.5min | Speed: 1.4 items/sec | https://www.ikesair.com/                           - success
[27/321] 8.4% | ETA: 3.7min | Speed: 1.3 items/sec | https://aadheatingairconditioning.xyz/             - success
[28/321] 8.7% | ETA: 3.5min | Speed: 1.4 items/sec | https://airmotionshvac.com/                        - http_error_202
[29/321] 9.0% | ETA: 3.5min | Speed: 1.4 items/sec | https://www.airstarnow.com/                        - success
[30/321] 9.3% | ETA: 3.4min | Speed: 1.4 items/sec | https://www.mrwilsonair.com/?utm_source=google&utm - success
[31/321] 9.7% | ETA: 3.5min | Speed: 1.4 items/sec | http://www.coolchamps.com/                         - connection_error
[32/321] 10.0% | ETA: 3.5min | Speed: 1.4 items/sec | https://www.aval-air.com/?utm_source=google&utm_me - success
[33/321] 10.3% | ETA: 3.4min | Speed: 1.4 items/sec | https://conoverair.com/?utm_source=GBP&utm_medium= - success
[34/321] 10.6% | ETA: 3.5min | Speed: 1.4 items/sec | https://callblueleafhvac.com/                      - success
[35/321] 10.9% | ETA: 3.4min | Speed: 1.4 items/sec | https://airworthac.com/                            - http_error_202
[36/321] 11.2% | ETA: 3.3min | Speed: 1.4 items/sec | http://www.revairtx.com/                           - success
