INFO:__main__:Loading input file: data/processed/test_input_281_sites.csv
INFO:__main__:Starting parallel processing with 25 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/test_input_281_sites.csv
Output file:       data/processed/test_results_quick.csv
Total URLs:        281
Mode:              quick
Workers:           25

Configuration:
  Check static:    True
  Extract emails:  False
  Extract phones:  False
  Scrape mode:     single
  AI analysis:     False

Estimated time:    0.2 min (14.1 sec)
================================================================================

[1/281] 0.4% | ETA: 7.7min | Speed: 0.6 items/sec | http://hvacalternativedfw.com/                     - success
[2/281] 0.7% | ETA: 5.1min | Speed: 0.9 items/sec | https://www.theontimeexperts.com/?utm_source=googl - http_error_403
[3/281] 1.1% | ETA: 3.4min | Speed: 1.3 items/sec | http://www.airchampion.com/                        - success
[4/281] 1.4% | ETA: 2.6min | Speed: 1.8 items/sec | https://hotandcoolhvac.squarespace.com/            - dynamic
[5/281] 1.8% | ETA: 2.1min | Speed: 2.2 items/sec | https://www.justintimeaircondition.com/?utm_source - success
[6/281] 2.1% | ETA: 2.2min | Speed: 2.1 items/sec | http://www.tehvac.com/                             - success
[7/281] 2.5% | ETA: 2.2min | Speed: 2.1 items/sec | https://www.ellisac.com/?utm_source=gmb_listing&ut - success
[8/281] 2.8% | ETA: 1.9min | Speed: 2.4 items/sec | https://www.morganproservices.com/                 - http_error_403
[9/281] 3.2% | ETA: 1.7min | Speed: 2.7 items/sec | https://www.comfortstaracrepairhouston.com/        - success
[10/281] 3.6% | ETA: 2.2min | Speed: 2.0 items/sec | https://www.accomfort.us/?utm_source=gbp&utm_mediu - success
[11/281] 3.9% | ETA: 2.0min | Speed: 2.2 items/sec | https://gopaschal.com/service-areas/arlington-tx?u - success
[12/281] 4.3% | ETA: 2.2min | Speed: 2.1 items/sec | https://www.unitedmechanical.com/                  - success
[13/281] 4.6% | ETA: 2.1min | Speed: 2.1 items/sec | https://www.daltonairandheat.com/?utm_source=googl - success
[14/281] 5.0% | ETA: 2.1min | Speed: 2.1 items/sec | https://onthespothvac.com/?utm_source=GBP&utm_medi - http_error_403
[15/281] 5.3% | ETA: 2.0min | Speed: 2.3 items/sec | https://htownacrepair.com/                         - dynamic
[16/281] 5.7% | ETA: 1.8min | Speed: 2.4 items/sec | https://silverspurhome.com/?utm_source=google&utm_ - success
[17/281] 6.0% | ETA: 1.7min | Speed: 2.5 items/sec | http://www.denalics.com/                           - success
[18/281] 6.4% | ETA: 1.7min | Speed: 2.6 items/sec | https://greaterhoustonhvac.com/                    - http_error_403
[19/281] 6.8% | ETA: 1.7min | Speed: 2.6 items/sec | https://extremecomfortac.com/                      - success
[20/281] 7.1% | ETA: 1.7min | Speed: 2.6 items/sec | https://airconsdallas.com/                         - success
[21/281] 7.5% | ETA: 1.6min | Speed: 2.7 items/sec | https://www.elitehomeexp.com/?utm_source=google&ut - connection_error
[22/281] 7.8% | ETA: 1.7min | Speed: 2.6 items/sec | http://www.newgenm.com/                            - success
[23/281] 8.2% | ETA: 1.6min | Speed: 2.6 items/sec | http://365heating-air.net/                         - success
[24/281] 8.5% | ETA: 1.5min | Speed: 2.8 items/sec | http://www.environmentalair.com/                   - success
[25/281] 8.9% | ETA: 1.5min | Speed: 2.9 items/sec | http://www.americanhvacstaff.com/                  - success
[26/281] 9.3% | ETA: 1.5min | Speed: 2.9 items/sec | https://www.universalhomeexperts.com/?utm_source=G - success
[27/281] 9.6% | ETA: 1.5min | Speed: 2.9 items/sec | https://www.tx1st.com/                             - http_error_404
[28/281] 10.0% | ETA: 1.5min | Speed: 2.9 items/sec | https://astardfw.com/air-force-one-plumbing-heatin - success
[29/281] 10.3% | ETA: 1.4min | Speed: 3.0 items/sec | http://standard-repair-hvac.com/Dallastx           - success
