place_id,name,vicinity,rating,user_ratings_total,business_status,phone,website,address
ChIJW9MyXeOZToYR8gwWSwYY1rw,Metro Air Conditioning Heating & Services,"126 W Illinois Ave, Dallas",4.8,316,OPERATIONAL,(214) 304-7658,https://www.metroacs.com/,"126 W Illinois Ave, Dallas, TX 75224, USA"
ChIJvSSB1yGOToYRNKBgAGCgjYc,Norman Aire Services,"1126 S Cedar Ridge Dr #119, Duncanville",4.9,330,OPERATIONAL,(972) 230-8497,https://www.normanaire.com/,"1126 S Cedar Ridge Dr #119, Duncanville, TX 75137, USA"
ChIJx4C5x0OhToYRjJs7BQD4Mvc,Serveway Heating and Air Conditioning,"10120 Cayuga Dr Suite 107, Dallas",4.9,366,OPERATIONAL,(469) 231-9379,https://www.servewayhvac.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"10120 Cayuga Dr Suite 107, Dallas, TX 75228, USA"
ChIJG8TMv8yZToYR0xe7HV3rvYs,Alpha Heating & Cooling Llc. HVAC Dallas,"1910 Pacific Ave Suite #12000 Floor 12, Dallas",5.0,105,OPERATIONAL,(214) 945-8799,https://alphahvac.site/,"1910 Pacific Ave Suite #12000 Floor 12, Dallas, TX 75201, USA"
ChIJ2VdwsRyjToYRCCIJ0S5sa_0,Absolute Comfort Mechanical LLC,"4617 S Buckner Blvd Suite H, Dallas",5.0,48,OPERATIONAL,(214) 900-2533,http://absolutecomfortmechanical.com/,"4617 S Buckner Blvd Suite H, Dallas, TX 75227, USA"
ChIJWXaMEWanToYR3h1X1okH0ZM,Conover Heating & Air,"4200 Gus Thomasson Rd Suite 114, Mesquite",5.0,161,OPERATIONAL,(214) 361-9630,https://conoverair.com/?utm_source=GBP&utm_medium=organic,"4200 Gus Thomasson Rd Suite 114, Mesquite, TX 75150, USA"
ChIJ4_WQ2B6DToYREL6OrmpfWnc,Aval Ac & Heating Inc,"723 N Britain Rd, Irving",4.9,80,OPERATIONAL,(214) 617-8060,https://www.aval-air.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"723 N Britain Rd, Irving, TX 75061, USA"
ChIJx5LaT4KgToYRFf6UvMq2D4w,Quality 1 Energy Systems Heating & Air Conditioning,"10870 Plano Rd C, Dallas",4.9,340,OPERATIONAL,(214) 698-2731,https://www.q1es.com/,"10870 Plano Rd C, Dallas, TX 75238, USA"
ChIJVx6j_BhfXIYRM0N1RTQcm8A,All About Air Conditioning & Heating LLC,"1118 Waverly Ave, San Antonio",5.0,257,OPERATIONAL,(210) 791-6906,https://allaboutacandheating.com/,"1118 Waverly Ave, San Antonio, TX 78201, USA"
ChIJgSZrHvSLXIYRCw8TLshe4os,Tri-City A/C & Heating,"9111 Broadway, San Antonio",5.0,207,OPERATIONAL,(210) 825-0194,https://www.tri-cityac.com/,"9111 Broadway, San Antonio, TX 78217, USA"
ChIJxW_ukO77XIYRnAQPfUTkBmI,Freedom Air Repair,"6690 Dan Rd, San Antonio",4.9,176,OPERATIONAL,(210) 899-5868,http://www.freedomairrepair.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB%20Listing,"6690 Dan Rd, San Antonio, TX 78223, USA"
ChIJjZee_BtnXIYRX5VI0waSwxo,Blueline Heating & Air Conditioning LLC,"401 Isom Rd #540, San Antonio",5.0,314,OPERATIONAL,(210) 686-5500,https://bluelineac.net/,"401 Isom Rd #540, San Antonio, TX 78216, USA"
ChIJo1aazvOLXIYR7nWN7UaDse8,One Hour Heating & Air Conditioning,"10812 Hillpoint Dr, San Antonio",5.0,152,OPERATIONAL,(210) 588-0555,https://www.onehourheatandair.com/san-antonio-north/?utm_source=gbp&utm_medium=paid&utm_campaign=1seo_gbp,"10812 Hillpoint Dr, San Antonio, TX 78217, USA"
ChIJQ8OHgjxgXIYRbhZcl5BPbNI,Mr. Wilson Heating & Air Conditioning,"219 W Rhapsody Dr, San Antonio",4.9,398,OPERATIONAL,(210) 308-9866,https://www.mrwilsonair.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"219 W Rhapsody Dr, San Antonio, TX 78216, USA"
ChIJF0drvwpeXIYRDfMYSmENh6w,AC Doctors,"7726 Montego Rd, San Antonio",4.9,265,OPERATIONAL,(210) 543-2237,http://www.acdoctorstx.com/,"7726 Montego Rd, San Antonio, TX 78250, USA"
ChIJP2a9VdX5XIYRHgFv6pK8fRw,Sherlock Homes AC/Heating & Air,"309 Zephyr Dr, Windcrest",4.9,181,OPERATIONAL,(210) 633-4775,http://sherlockhomesac.tech/,"309 Zephyr Dr, Windcrest, TX 78239, USA"
ChIJq6reBaj3XIYR25O2RQKKQ_E,Premier PROS Plumbing & HVAC,"2511 S WW White Rd #102, San Antonio",4.9,498,OPERATIONAL,(210) 879-1754,https://premierpros.us/?utm_campaign=gmb,"2511 S WW White Rd #102, San Antonio, TX 78222, USA"
