"﻿""title""",totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
Schroeder Legacy Lawn Care,5,1,,,,,https://schroederlegacylawn.onuniverse.com/,(940) 337-5326,Lawn care service,https://www.google.com/maps/search/?api=1&query=Schroeder%20Legacy%20Lawn%20Care&query_place_id=ChIJifZHWuSLF6ARaNCnqquw5_U
New Life Landscape,4.5,8,305 S Georgia St,Amarillo,Texas,US,http://sprinklerrepairamarillo.com/,(806) 373-5575,Landscaper,https://www.google.com/maps/search/?api=1&query=New%20Life%20Landscape&query_place_id=ChIJGbbQKwhPAYcRAXGu40eS_iA
Verde Landscape Companies,4.4,30,6650 Canyon Dr Unit 4,Amarillo,Texas,US,http://www.verdelandscape.com/,(844) 998-3733,Landscape designer,https://www.google.com/maps/search/?api=1&query=Verde%20Landscape%20Companies&query_place_id=ChIJDcS4fi5IB4cRak0xqZN08zM
Superior Quality Lawn And Landscape,4.8,60,,,,,https://superiorqualitylandscaping.com/,(806) 626-2750,Landscaper,https://www.google.com/maps/search/?api=1&query=Superior%20Quality%20Lawn%20And%20Landscape&query_place_id=ChIJhdyCOEZOAYcRmXXzg9wZK_s
Mean Green Lawn and Tree service,4.5,33,,,,,http://www.meangreenls.com/,(940) 444-6525,Lawn care service,https://www.google.com/maps/search/?api=1&query=Mean%20Green%20Lawn%20and%20Tree%20service&query_place_id=ChIJ_1Mko5chU4YRn-l8sGojjl0
SJH Landscape,5,36,,,,,http://sjhlandscape.com/,(806) 440-7583,Landscaper,https://www.google.com/maps/search/?api=1&query=SJH%20Landscape&query_place_id=ChIJIbOjvdxLZ00RXoONOESl9jE
TX Elite Repair & Service LLC,5,26,3345 Spur 24,Dalhart,Texas,US,http://txelite.net/,(806) 418-5505,Truck repair shop,https://www.google.com/maps/search/?api=1&query=TX%20Elite%20Repair%20%26%20Service%20LLC&query_place_id=ChIJ0Uybh563BYcRWOMh2vPCbpo
Anchored Lawncare LLC,5,5,1037 City View Dr F,Wichita Falls,Texas,US,https://www.anchoredlawncarellc.com/,(469) 579-8841,Lawn care service,https://www.google.com/maps/search/?api=1&query=Anchored%20Lawncare%20LLC&query_place_id=ChIJ9fxny54hU4YRyQsvjOUfFwY
"Gabe's Heating and Air, LLC",5,49,1405 David Ln,Dalhart,Texas,US,https://www.gabesair.com/,(806) 333-9213,Air conditioning contractor,https://www.google.com/maps/search/?api=1&query=Gabe's%20Heating%20and%20Air%2C%20LLC&query_place_id=ChIJTRBTge491wIRMDf-YrMY--0
Terra Landscape,5,3,2305 Brook Hollow Dr,Wichita Falls,Texas,US,https://www.terralandscapetx.com/,(940) 500-4105,Landscape architect,https://www.google.com/maps/search/?api=1&query=Terra%20Landscape&query_place_id=ChIJfeRLQsjSBoMR8pEVDMS6OOo
C&K Lawn Mowing and landscaping,5,1,17392 Weatherby Ln,Canyon,Texas,US,https://cklawnl.wixsite.com/cklawnmowingandlands,(806) 647-7046,Lawn care service,https://www.google.com/maps/search/?api=1&query=C%26K%20Lawn%20Mowing%20and%20landscaping&query_place_id=ChIJExLNbNNdAYcR43_UrcIiPh8
Voltage Tree & Lawn,5,165,2315 Buchanan St,Wichita Falls,Texas,US,https://voltagetreelawn.com/,(940) 642-1786,Lawn care service,https://www.google.com/maps/search/?api=1&query=Voltage%20Tree%20%26%20Lawn&query_place_id=ChIJ_eypS3ohU4YRH-6OdFiBukE
Elite Lawn Care Amarillo,4.8,62,5344 Capulin Ln,Amarillo,Texas,US,http://www.elitelcamarillo.com/,(806) 676-1945,Landscaper,https://www.google.com/maps/search/?api=1&query=Elite%20Lawn%20Care%20Amarillo&query_place_id=ChIJ46uxhHC15G4RI3k3wIu6KIE
Greenwood Landscaping,4.8,35,3140 9th St,Wichita Falls,Texas,US,https://www.greenwoodlandscaping.net/,(940) 636-9569,Landscaper,https://www.google.com/maps/search/?api=1&query=Greenwood%20Landscaping&query_place_id=ChIJLX5DWgAhU4YRVBc6O4G1HbM
Lucas VIP Lawn Care LLC,5,5,6939 Quail Ridge Rd,Wichita Falls,Texas,US,https://lucasviplawncare.com/,(940) 704-7115,Lawn care service,https://www.google.com/maps/search/?api=1&query=Lucas%20VIP%20Lawn%20Care%20LLC&query_place_id=ChIJi28bdJ98tgQRcfTyGOFaPWo
All-Pro Mowing and Landscaping,5,23,7511 W McCormick Rd,Amarillo,Texas,US,http://allpromow.com/,(806) 910-6566,Landscaper,https://www.google.com/maps/search/?api=1&query=All-Pro%20Mowing%20and%20Landscaping&query_place_id=ChIJy1EsgqpDAYcR2Ihli02U9C8
Gene James Air Conditioning & Heating,4.6,8,108 W Cash St,Iowa Park,Texas,US,https://airconditioningwf.com/,(940) 592-9333,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Gene%20James%20Air%20Conditioning%20%26%20Heating&query_place_id=ChIJJYyRH087U4YRmfUJQqm_gXk
Coffee Landscape and Design LLC,4.8,45,7765 Longoria Rd #400,Amarillo,Texas,US,http://www.coffeelandscapedesign.com/,(806) 656-1296,Landscape designer,https://www.google.com/maps/search/?api=1&query=Coffee%20Landscape%20and%20Design%20LLC&query_place_id=ChIJcQUTe89dAYcRiS5e5JncALg
Wichita Valley Landscape,4.7,60,5314 Southwest Pkwy,Wichita Falls,Texas,US,https://www.wv-landscape.com/,(940) 696-3082,Landscaper,https://www.google.com/maps/search/?api=1&query=Wichita%20Valley%20Landscape&query_place_id=ChIJz0qmQAEiU4YRVTaWfa1laBc
Flatland Roofing & Insulation,5,43,706 Elm St,Hartley,Texas,US,https://flatlandroofinginsulation.com/?utm_source=gbp,(806) 606-6794,Insulation contractor,https://www.google.com/maps/search/?api=1&query=Flatland%20Roofing%20%26%20Insulation&query_place_id=ChIJPz4Kibk1BIcR29UlEl6eKn0
Toot'n Totum Car Care Center (Dalhart),4.2,72,410 Liberal St,Dalhart,Texas,US,https://www.tootntotum.com/carcare,(806) 244-0707,Auto repair shop,https://www.google.com/maps/search/?api=1&query=Toot'n%20Totum%20Car%20Care%20Center%20(Dalhart)&query_place_id=ChIJlyuRYs-2BYcRQI0LMFKctxE
