APIFY ACTOR - SUPPORTED COUNTRIES (28 total)
============================================================

Use 'ALL' to search globally, or specify country code:

ALL - All Countries
US  - United States
GB  - United Kingdom
AE  - United Arab Emirates
AR  - Argentina
AU  - Australia
BE  - Belgium
BR  - Brazil
CA  - Canada
DK  - Denmark
ES  - Spain
FI  - Finland
FR  - France
IE  - Ireland
IN  - India
IT  - Italy
JP  - Japan
KR  - South Korea
MX  - Mexico
NL  - Netherlands
NO  - Norway
PL  - Poland
PT  - Portugal
SA  - Saudi Arabia
SE  - Sweden
TH  - Thailand
TR  - Turkey
