city,country,country_code,email,facebook,google_business_categories,google_maps_url,instagram,linkedin,name,opening_date,phone_number,review_score,reviews_number,source_run_id,source_type,street,url,source_category,source_country
Kiama NSW 2533,,AU,info@o2bcool.com.au,https://www.facebook.com/o2bcool/,air_conditioning_contractor|air_conditioning_repair_service|air_conditioning_store|air_conditioning_system_supplier|commercial_refrigerator_supplier|hvac_contractor|refrigerated_transport_service|refrigerator_repair_service|repair_service,https://www.google.com/maps?cid=3435718460440639628,,,O2B Cool Refrigeration & Air Conditioning ; Installation,,+61 403 289 502,4.6,9.0,f5hcgdr4Pr14BUpaP,manual,11 Brown St,http://www.o2bcool.com.au/,,
Port Macquarie NSW 2444,,AU,sales@lawsonair.com.au,https://www.facebook.com/LawsonAir,air_conditioning_contractor|air_conditioning_repair_service|air_conditioning_store|air_conditioning_system_supplier|heating_equipment_supplier|hvac_contractor,https://www.google.com/maps?cid=5501619107435102068,https://www.instagram.com/lawsonair/,,Lawson Air Conditioning - Port Macquarie,,+61 2 6581 2420,,,f5hcgdr4Pr14BUpaP,manual,Unit 6/51 Jindalee Rd,https://www.lawsonair.com.au/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB_PORT_LOC,,
Calderwood NSW 2574,,AU,info@deaircon.com.au,https://www.facebook.com/deairconditioning,air_conditioning_contractor|air_conditioning_repair_service|air_conditioning_system_supplier|establishment_service|hvac_contractor,https://www.google.com/maps?cid=17073675173383827672,https://www.instagram.com/deaircon/,,DE Air Conditioning Services,,+61 459 298 331,4.9,96.0,f5hcgdr4Pr14BUpaP,manual,,https://www.deaircon.com.au/,,
Unanderra NSW 2526,,AU,service@axisair.com.au,https://www.facebook.com/axisair.com.au,air_conditioning_contractor|air_conditioning_repair_service|air_conditioning_system_supplier|hvac_contractor,https://www.google.com/maps?cid=10798167989288211007,,https://www.linkedin.com/in/adam-stephens-42896464/,Axis Align,,+61 2 4237 8888,5.0,5.0,f5hcgdr4Pr14BUpaP,manual,Unit 3/7 Investigator Dr,http://www.axisalign.com.au/,,
Calderwood NSW 2574,,AU,u003econtact@seabreeze.net.au,,air_conditioning_contractor|air_conditioning_repair_service|air_duct_cleaning_service|establishment_service|hvac_contractor,https://www.google.com/maps?cid=86096773003550167,,,Seabreeze Air Conditioning: Wollongong,,+61 417 290 518,4.9,22.0,f5hcgdr4Pr14BUpaP,manual,,https://seabreeze.net.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,,
Mangerton NSW 2525,,AU,rspairconditioning@gmail.com,,air_conditioning_contractor|air_conditioning_system_supplier|establishment_service|hvac_contractor,https://www.google.com/maps?cid=542320970495621274,,,RSP AIR Conditioning,,+61 403 179 322,5.0,35.0,f5hcgdr4Pr14BUpaP,manual,,http://rspairconditioning.com.au/,,
Cleve SA 5602,,AU,service@aironeyre.com.au,https://www.facebook.com/386617007865742,air_conditioning_contractor|establishment_service|hvac_contractor|refrigerator_repair_service,https://www.google.com/maps?cid=12866003798062970663,https://www.instagram.com/aironeyre/,,Air on Eyre,,+61 491 226 778,5.0,9.0,f5hcgdr4Pr14BUpaP,manual,,https://aironeyre.com.au/,,
Port Melbourne VIC 3207,,AU,info@autobt.com.au,,air_conditioning_store|hvac_contractor,https://www.google.com/maps?cid=5292637664974674523,,,Automated Building Technology (ABT),,+61 3 9681 8188,5.0,4.0,f5hcgdr4Pr14BUpaP,manual,3/73 Wharf Rd,http://autobt.com.au/,,
Canowindra NSW 2804,,AU,todd@breezeelectricalservices.com.au,https://www.facebook.com/489472654251901,electrician|air_conditioning_contractor|establishment_service|hvac_contractor,https://www.google.com/maps?cid=8339541883520679432,https://www.instagram.com/breeze_electrical_services,,Breeze Electrical Services,,+61 458 586 828,5.0,4.0,f5hcgdr4Pr14BUpaP,manual,,https://breezeelectricalservices.com.au/,,
Yass NSW 2582,,AU,joshua@highlandacr.com,https://www.facebook.com/Highland-ACR-107646324310517/,hvac_contractor,https://www.google.com/maps?cid=15170368593494148976,https://www.instagram.com/highlandacandr/,,Highland AC&R,,+61 405 205 053,5.0,11.0,f5hcgdr4Pr14BUpaP,manual,25 Merriman Dr,https://www.highlandacr.com/,,
