place_id,name,website,city,state,niche,pattern_emails
ChIJo83MyGfDwogR78PZnGu1JkE,Acme Electrical Services,https://www.acmeelectricalservices.com/,"Tampa, FL",florida,electricians,"info@acmeelectricalservices.com, contact@acmeelectricalservices.com, hello@acmeelectricalservices.com, sales@acmeelectricalservices.com, support@acmeelectricalservices.com, office@acmeelectricalservices.com"
ChIJGyDMV0HdwogR4pGk4iEssYs,Powerhouse Pro Services,https://www.powerhouseproservices.com/,"Tampa, FL",florida,electricians,"info@powerhouseproservices.com, contact@powerhouseproservices.com, hello@powerhouseproservices.com, sales@powerhouseproservices.com, support@powerhouseproservices.com, office@powerhouseproservices.com"
ChIJB1RzC3TxwogRjfHjfL4QtV0,Energy Today,https://energytoday.biz/tampa?utm_source=google&utm_medium=organic&utm_campaign=Google_ELEC_GMB_NorthTPA&utm_content=Website,"Tampa, FL",florida,electricians,"info@energytoday.biz, contact@energytoday.biz, hello@energytoday.biz, sales@energytoday.biz, support@energytoday.biz, office@energytoday.biz"
ChIJyRZK7Vm05YgRBw_4Y3-Q5Ic,American Electric,https://www.americanelectricofjacksonville.com/,"Jacksonville, FL",florida,electricians,"info@americanelectricofjacksonville.com, contact@americanelectricofjacksonville.com, hello@americanelectricofjacksonville.com, sales@americanelectricofjacksonville.com, support@americanelectricofjacksonville.com, office@americanelectricofjacksonville.com"
ChIJQ3B2DFOt5YgR06lazEDfSUE,Burbank Electric,http://www.burbankelectricnefl.com/,"Jacksonville, FL",florida,electricians,
ChIJcRaK8V_K5YgRn1hkyqPD7tw,Bolt Electric,https://www.boltelectricnfl.com/,"Jacksonville, FL",florida,electricians,"info@boltelectricnfl.com, contact@boltelectricnfl.com, hello@boltelectricnfl.com, sales@boltelectricnfl.com, support@boltelectricnfl.com, office@boltelectricnfl.com"
ChIJ-4Q1Fd1L5IgRJc977KI4Q-M,Tenax Electrical Company,https://tenaxelectrical.com/,"Jacksonville, FL",florida,electricians,"info@tenaxelectrical.com, contact@tenaxelectrical.com, hello@tenaxelectrical.com, sales@tenaxelectrical.com, support@tenaxelectrical.com, office@tenaxelectrical.com"
ChIJy9H5Mouz5YgRlnIv-LU6IT8,Empire Electric Inc.,https://www.empireelec.com/,"Jacksonville, FL",florida,electricians,
ChIJVZB4kMu45YgRt-gTBR1v8wc,Robbins Electrical Services Inc.,,"Jacksonville, FL",florida,electricians,
ChIJUxCT_ryz2YgRlzidIvhRAh0,Electrical Solution us llc,https://electricalsolution.us/,"Miami, FL",florida,electricians,"info@electricalsolution.us, contact@electricalsolution.us, hello@electricalsolution.us, sales@electricalsolution.us, support@electricalsolution.us, office@electricalsolution.us"
ChIJwyrqQuq72YgRCwD15LPRt18,S.E. Bates Electric,https://bates-electric.com/locations/miami-fl/,"Miami, FL",florida,electricians,
ChIJFyFeRJq42YgRZ3zQ7PiJq1M,Alex All Electric,https://electricianformiami.com/,"Miami, FL",florida,electricians,"info@electricianformiami.com, contact@electricianformiami.com, hello@electricianformiami.com, sales@electricianformiami.com, support@electricianformiami.com, office@electricianformiami.com"
ChIJIy6Tv0O62YgRvxq5DBYRSa8,Alex Electric Services Inc,https://alexelectric.net/,"Miami, FL",florida,electricians,"info@alexelectric.net, contact@alexelectric.net, hello@alexelectric.net, sales@alexelectric.net, support@alexelectric.net, office@alexelectric.net"
ChIJLcCHzV4FjKMRz92Q0_UNvlQ,Smartlife Electric INC,http://www.smartlifelectric.com/,"Miami, FL",florida,electricians,
ChIJA_jjbYJ754gRyC-7_3Qho3Y,Mr. Electric of Orlando,https://mrelectric.com/orlando/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,"Orlando, FL",florida,electricians,
ChIJ80AA9r1_54gR0HeS8YGM9LE,FRED Electrical Residential Services,,"Orlando, FL",florida,electricians,
ChIJ1wjZLOVh54gRFXmjjZ3pyBw,FC ELECTRIC GROUP LLC,,"Orlando, FL",florida,electricians,
ChIJ7-foMndw54gR5DNVAtFykiU,Palmer Electric Company,https://www.palmer-electric.com/,"Orlando, FL",florida,electricians,
ChIJXdptzSET54gRh7NYr1UJ7w0,Central Florida Electrician,https://centralfloridaelectrician.com/,"Orlando, FL",florida,electricians,
ChIJc837NldT54gRvtpeFB8GWMo,MTK Electric Inc,https://mtkelectric.com/,"Orlando, FL",florida,electricians,"info@mtkelectric.com, contact@mtkelectric.com, hello@mtkelectric.com, sales@mtkelectric.com, support@mtkelectric.com, office@mtkelectric.com"
ChIJg8-zHThx54gRQ0cwoHyoqJM,Super Fast Electric,https://superfastelectric.com/,"Orlando, FL",florida,electricians,
ChIJzWwX5mUWew4RokpSK_rYLYw,DH Electric,,"Orlando, FL",florida,electricians,
ChIJzWRnfj37wogRBRH0rvq3rzg,Blue Collar Electric,https://www.bluecollar-electric.com/,"St. Petersburg, FL",florida,electricians,"info@bluecollar-electric.com, contact@bluecollar-electric.com, hello@bluecollar-electric.com, sales@bluecollar-electric.com, support@bluecollar-electric.com, office@bluecollar-electric.com"
ChIJA3BCYs39wogR_2uvT4dk7zA,M.R. Electricians,https://mrelectricians.us/,"St. Petersburg, FL",florida,electricians,"info@mrelectricians.us, contact@mrelectricians.us, hello@mrelectricians.us, sales@mrelectricians.us, support@mrelectricians.us, office@mrelectricians.us"
ChIJPbJdyorjwogRMR-EbunCWIg,Luminous Electric,https://lumelect.com/,"St. Petersburg, FL",florida,electricians,"info@lumelect.com, contact@lumelect.com, hello@lumelect.com, sales@lumelect.com, support@lumelect.com, office@lumelect.com"
ChIJ7ZQQ5xzlwogRCB_z08nZLH8,"Live Wire Electrical Services, Inc.",http://www.livewireelectrical.org/,"St. Petersburg, FL",florida,electricians,"info@livewireelectrical.org, contact@livewireelectrical.org, hello@livewireelectrical.org, sales@livewireelectrical.org, support@livewireelectrical.org, office@livewireelectrical.org"
ChIJgc_78E0P42gRJsvMaWeMNxs,"Doolbar Electrical Contracting Services, LLC",https://doolbarelectricalcontracting.com/,"St. Petersburg, FL",florida,electricians,"info@doolbarelectricalcontracting.com, contact@doolbarelectricalcontracting.com, hello@doolbarelectricalcontracting.com, sales@doolbarelectricalcontracting.com, support@doolbarelectricalcontracting.com, office@doolbarelectricalcontracting.com"
ChIJFaB2RATywogR9njvw6ejqnA,TR Electric,https://trelectric.pro/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile_largo,"St. Petersburg, FL",florida,electricians,
ChIJQynSWD3nwogRSni0fr_SSAY,Fivestar Electricians,https://fivestarelectrician.wixstudio.com/5starelectricians,"St. Petersburg, FL",florida,electricians,"info@fivestarelectrician.wixstudio.com, contact@fivestarelectrician.wixstudio.com, hello@fivestarelectrician.wixstudio.com, sales@fivestarelectrician.wixstudio.com, support@fivestarelectrician.wixstudio.com, office@fivestarelectrician.wixstudio.com"
ChIJTdPEjHzhwogRf75l7fnpOEQ,JL Local Electricians,,"St. Petersburg, FL",florida,electricians,
