place_id,name,state,city,niche,address,phone,website,rating,reviews,business_status,scraped_at,has_phone,has_website,has_contact
ChIJo83MyGfDwogR78PZnGu1JkE,Acme Electrical Services,florida,"Tampa, FL",electricians,"6707 N Rome Ave, Tampa, FL 33604, USA",(813) 878-2263,https://www.acmeelectricalservices.com/,4.9,108,OPERATIONAL,20251110_101601,True,True,True
ChIJGyDMV0HdwogR4pGk4iEssYs,Powerhouse Pro Services,florida,"Tampa, FL",electricians,"4302 W Wisconsin Ave, Tampa, FL 33616, USA",(813) 853-2369,https://www.powerhouseproservices.com/,5.0,38,OPERATIONAL,20251110_101601,True,True,True
ChIJD1cHdjhoxU8RMih0XMFddrU,RUIZ ELECTRICAL SERVICES LLC,florida,"Tampa, FL",electricians,"5834 Mohr Loop, Tampa, FL 33615, USA",,http://www.ruizelectricalservices.net/,5.0,20,OPERATIONAL,20251110_101601,False,True,False
ChIJB1RzC3TxwogRjfHjfL4QtV0,Energy Today,florida,"Tampa, FL",electricians,"5401 E Sligh Ave, Tampa, FL 33617, USA",(813) 738-1575,https://energytoday.biz/tampa?utm_source=google&utm_medium=organic&utm_campaign=Google_ELEC_GMB_NorthTPA&utm_content=Website,4.8,345,OPERATIONAL,20251110_101601,True,True,True
ChIJVyLDOxnDGGAR9YrqgYvU5s0,Second Opinion Electric,florida,"Tampa, FL",electricians,"2703 Auburn Ave W, Tampa, FL 33614, USA",(813) 716-6020,http://www.secondopinionelectric.com/,5.0,57,OPERATIONAL,20251110_101601,True,True,True
ChIJze2AqPTBwogRcT0a1yWoBv0,CJS Electric Inc.,florida,"Tampa, FL",electricians,"4119 Gunn Hwy STE 28, Tampa, FL 33618, USA",(813) 887-1090,http://www.cjselectric7.com/,4.9,31,OPERATIONAL,20251110_101601,True,True,True
ChIJyRZK7Vm05YgRBw_4Y3-Q5Ic,American Electric,florida,"Jacksonville, FL",electricians,"8751 Atlantic Blvd, Jacksonville, FL 32211, USA",(904) 721-4044,https://www.americanelectricofjacksonville.com/,4.9,376,OPERATIONAL,20251110_101601,True,True,True
ChIJQ3B2DFOt5YgR06lazEDfSUE,Burbank Electric,florida,"Jacksonville, FL",electricians,"11227 Guinn Rd, Jacksonville, FL 32218, USA",(904) 662-1774,http://www.burbankelectricnefl.com/,4.8,145,OPERATIONAL,20251110_101601,True,True,True
ChIJcRaK8V_K5YgRn1hkyqPD7tw,Bolt Electric,florida,"Jacksonville, FL",electricians,"1525 Romney St #1, Jacksonville, FL 32211, USA",(904) 977-5454,https://www.boltelectricnfl.com/,4.8,424,OPERATIONAL,20251110_101601,True,True,True
ChIJ-4Q1Fd1L5IgRJc977KI4Q-M,Tenax Electrical Company,florida,"Jacksonville, FL",electricians,"11762 Marco Beach Dr #6, Jacksonville, FL 32224, USA",(904) 604-6100,https://tenaxelectrical.com/,5.0,20,OPERATIONAL,20251110_101601,True,True,True
ChIJZav54F3A5YgR0kB-IR8o-ik,Thompson Electric and Air,florida,"Jacksonville, FL",electricians,"1940 Haines St, Jacksonville, FL 32206, USA",(904) 656-1961,https://www.thompsonelectricco.com/?utm_source=GMB&utm_medium=Website&utm_campaign=mapstakeover,4.4,195,OPERATIONAL,20251110_101601,True,True,True
ChIJUwg-giG85YgRk9EFg-97P44,Lin's Electric Inc.,florida,"Jacksonville, FL",electricians,"7820 Pritchard Rd, Jacksonville, FL 32219, USA",(904) 868-6586,http://linselectric.com/,4.9,401,OPERATIONAL,20251110_101601,True,True,True
ChIJT5CWm4G95YgRrVHKJ4ykZS0,"Hubbard Electrical Contracting, LLC",florida,"Jacksonville, FL",electricians,"8627 Die Hard Ln, Jacksonville, FL 32220, USA",(904) 351-9722,http://www.hubbardelectricalcontracting.com/,5.0,453,OPERATIONAL,20251110_101601,True,True,True
ChIJy9H5Mouz5YgRlnIv-LU6IT8,Empire Electric Inc.,florida,"Jacksonville, FL",electricians,"5810 Macy Ave, Jacksonville, FL 32211, USA",(904) 365-7777,https://www.empireelec.com/,4.9,296,OPERATIONAL,20251110_101601,True,True,True
ChIJVZB4kMu45YgRt-gTBR1v8wc,Robbins Electrical Services Inc.,florida,"Jacksonville, FL",electricians,"7749 Normandy Blvd, Jacksonville, FL 32221, USA",(561) 763-9575,,5.0,21,OPERATIONAL,20251110_101601,True,False,False
ChIJUxCT_ryz2YgRlzidIvhRAh0,Electrical Solution us llc,florida,"Miami, FL",electricians,"1881 79th Street Causeway, Miami Beach, FL 33141, USA",(678) 618-7924,https://electricalsolution.us/,4.9,115,OPERATIONAL,20251110_101601,True,True,True
ChIJwyrqQuq72YgRCwD15LPRt18,S.E. Bates Electric,florida,"Miami, FL",electricians,"9820 NW 80th Ave Ste 6-C, Hialeah Gardens, FL 33016, USA",(786) 304-2328,https://bates-electric.com/locations/miami-fl/,4.8,348,OPERATIONAL,20251110_101601,True,True,True
ChIJFyFeRJq42YgRZ3zQ7PiJq1M,Alex All Electric,florida,"Miami, FL",electricians,"8710 SW 42nd Terrace, Miami, FL 33165, USA",(786) 362-9679,https://electricianformiami.com/,4.9,111,OPERATIONAL,20251110_101601,True,True,True
ChIJEXvd_JW32YgRacnfN5LGcwI,E&P Electrical services Miami,florida,"Miami, FL",electricians,"940 NW 8th Street Rd, Miami, FL 33136, USA",(786) 229-4448,https://epelectricalservice.com/,5.0,123,OPERATIONAL,20251110_101601,True,True,True
ChIJ8UXqpJPG2YgRMpyghQ7agiY,"Electric Service & Repair, Inc.",florida,"Miami, FL",electricians,"13335 SW 88th Ave, Miami, FL 33176, USA",(305) 256-9793,http://www.electricserviceandrepair.net/,4.7,60,OPERATIONAL,20251110_101601,True,True,True
ChIJIy6Tv0O62YgRvxq5DBYRSa8,Alex Electric Services Inc,florida,"Miami, FL",electricians,"2245 W 10th Ct, Hialeah, FL 33010, USA",(305) 888-8830,https://alexelectric.net/,4.3,55,OPERATIONAL,20251110_101601,True,True,True
ChIJ3xpi3L232YgRgtKQ59YyICk,Elekron Electric Inc,florida,"Miami, FL",electricians,"2332 Galiano St Second Floor, Coral Gables, FL 33134, USA",(786) 423-5230,http://www.elekronelectric.com/,5.0,204,OPERATIONAL,20251110_101601,True,True,True
ChIJLcCHzV4FjKMRz92Q0_UNvlQ,Smartlife Electric INC,florida,"Miami, FL",electricians,"178 NW 47th Terrace, Miami, FL 33127, USA",(305) 833-5328,http://www.smartlifelectric.com/,5.0,68,OPERATIONAL,20251110_101601,True,True,True
ChIJx91rncq8JiMRNhnmRNNV7jM,Smart Electrical Company Llc,florida,"Miami, FL",electricians,"11295 Biscayne Blvd unit 811, Miami, FL 33181, USA",(786) 858-0907,https://smartelectricalcompany.com/,4.9,58,OPERATIONAL,20251110_101601,True,True,True
ChIJb6Fk87-72YgRWMPHBhTVPvQ,Electrical Master System Corp,florida,"Miami, FL",electricians,"8064 W 15th Ln, Hialeah, FL 33014, USA",(305) 951-9372,https://electricalmastersystem.com/,5.0,21,OPERATIONAL,20251110_101601,True,True,True
ChIJA_jjbYJ754gRyC-7_3Qho3Y,Mr. Electric of Orlando,florida,"Orlando, FL",electricians,"3700 34th St Suite 100B, Orlando, FL 32805, USA",(407) 329-5796,https://mrelectric.com/orlando/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,5.0,209,OPERATIONAL,20251110_101601,True,True,True
ChIJKX8UpuFx54gR0TdYUyFLgDU,UP & Down Electrical Services LLC EC#13014809,florida,"Orlando, FL",electricians,"452 Osceola St #201, Altamonte Springs, FL 32701, USA",(352) 456-9206,https://www.upanddownelectricalservicesllc.com/,5.0,29,OPERATIONAL,20251110_101601,True,True,True
ChIJ80AA9r1_54gR0HeS8YGM9LE,FRED Electrical Residential Services,florida,"Orlando, FL",electricians,"6452 Vineland Rd unit 106, Orlando, FL 32819, USA",(571) 982-9312,,5.0,31,OPERATIONAL,20251110_101601,True,False,False
ChIJ87w3eZZv54gRodnjMFEXJEs,Just Do It Pros LLC,florida,"Orlando, FL",electricians,"1060 Lundy Ct, Winter Park, FL 32792, USA",(352) 933-2859,https://justdoitpros.com/,5.0,32,OPERATIONAL,20251110_101601,True,True,True
ChIJ1wjZLOVh54gRFXmjjZ3pyBw,FC ELECTRIC GROUP LLC,florida,"Orlando, FL",electricians,"10514 Green Ivy Ln, Orlando, FL 32832, USA",(786) 602-6289,,5.0,21,OPERATIONAL,20251110_101601,True,False,False
ChIJ7-foMndw54gR5DNVAtFykiU,Palmer Electric Company,florida,"Orlando, FL",electricians,"MAIN OFFICE, 875 Jackson Ave, Winter Park, FL 32789, USA",(407) 646-8700,https://www.palmer-electric.com/,4.3,160,OPERATIONAL,20251110_101601,True,True,True
ChIJXdptzSET54gRh7NYr1UJ7w0,Central Florida Electrician,florida,"Orlando, FL",electricians,"243 N Texas Ave, Orlando, FL 32805, USA",(407) 801-0126,https://centralfloridaelectrician.com/,4.9,116,OPERATIONAL,20251110_101601,True,True,True
ChIJb9RaI-N654gRhpXMDRLXmJ0,Smartron Electric,florida,"Orlando, FL",electricians,"2433 Lee Rd, Winter Park, FL 32789, USA",(407) 883-2588,http://smartronelectric.com/,5.0,169,OPERATIONAL,20251110_101601,True,True,True
ChIJc837NldT54gRvtpeFB8GWMo,MTK Electric Inc,florida,"Orlando, FL",electricians,"1881 Lee Rd, Winter Park, FL 32789, USA",(407) 538-4237,https://mtkelectric.com/,5.0,144,OPERATIONAL,20251110_101601,True,True,True
ChIJg8-zHThx54gRQ0cwoHyoqJM,Super Fast Electric,florida,"Orlando, FL",electricians,"1070 Bunnell Rd B2, Altamonte Springs, FL 32714, USA",(407) 789-1550,https://superfastelectric.com/,5.0,239,OPERATIONAL,20251110_101601,True,True,True
ChIJzWwX5mUWew4RokpSK_rYLYw,DH Electric,florida,"Orlando, FL",electricians,"3499 Seagrape Dr, Winter Park, FL 32792, USA",(407) 487-8445,,4.9,72,OPERATIONAL,20251110_101601,True,False,False
ChIJN4Wf6r-R3YgR3W1hYx7hbJM,In Phaze Electric Inc.,florida,"Orlando, FL",electricians,"2200 N Forsyth Rd, Orlando, FL 32807, USA",(407) 599-7777,https://www.inphazeelectric.com/request-an-appointment/,4.8,666,OPERATIONAL,20251110_101601,True,True,True
ChIJzWRnfj37wogRBRH0rvq3rzg,Blue Collar Electric,florida,"St. Petersburg, FL",electricians,"1301 Seminole Blvd #113, Largo, FL 33770, USA",(727) 853-6022,https://www.bluecollar-electric.com/,4.9,661,OPERATIONAL,20251110_101601,True,True,True
ChIJA3BCYs39wogR_2uvT4dk7zA,M.R. Electricians,florida,"St. Petersburg, FL",electricians,"9225 Ulmerton Rd STE J, Largo, FL 33771, USA",(727) 475-4956,https://mrelectricians.us/,4.9,250,OPERATIONAL,20251110_101601,True,True,True
ChIJPbJdyorjwogRMR-EbunCWIg,Luminous Electric,florida,"St. Petersburg, FL",electricians,"3350 Ulmerton Rd ste 20, Clearwater, FL 33762, USA",(727) 954-4666,https://lumelect.com/,4.8,530,OPERATIONAL,20251110_101601,True,True,True
ChIJ7ZQQ5xzlwogRCB_z08nZLH8,"Live Wire Electrical Services, Inc.",florida,"St. Petersburg, FL",electricians,"12141 62nd St N, Largo, FL 33773, USA",(727) 531-2500,http://www.livewireelectrical.org/,4.7,138,OPERATIONAL,20251110_101601,True,True,True
ChIJgc_78E0P42gRJsvMaWeMNxs,"Doolbar Electrical Contracting Services, LLC",florida,"St. Petersburg, FL",electricians,"7701 Starkey Rd APT 437, Seminole, FL 33777, USA",(954) 459-7407,https://doolbarelectricalcontracting.com/,5.0,56,OPERATIONAL,20251110_101601,True,True,True
ChIJFaB2RATywogR9njvw6ejqnA,TR Electric,florida,"St. Petersburg, FL",electricians,"8300 Ulmerton Rd Suite 126, Largo, FL 33771, USA",(727) 686-7059,https://trelectric.pro/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile_largo,4.9,137,OPERATIONAL,20251110_101601,True,True,True
ChIJQynSWD3nwogRSni0fr_SSAY,Fivestar Electricians,florida,"St. Petersburg, FL",electricians,"600 76th Ave N, St. Petersburg, FL 33702, USA",(727) 509-8374,https://fivestarelectrician.wixstudio.com/5starelectricians,4.8,20,OPERATIONAL,20251110_101601,True,True,True
ChIJTdPEjHzhwogRf75l7fnpOEQ,JL Local Electricians,florida,"St. Petersburg, FL",electricians,"2800 4th St S, St. Petersburg, FL 33705, USA",(813) 705-6644,,4.7,20,OPERATIONAL,20251110_101601,True,False,False
ChIJC2Ic3RjMsksRIS4X_57HLG0,Green Light Electric,florida,"St. Petersburg, FL",electricians,"13750 49th Street N Suite 4, Clearwater, FL 33762, USA",(727) 635-7771,https://www.greenlightele.com/,4.8,108,OPERATIONAL,20251110_101601,True,True,True
ChIJsVYGhh_lwogR5Y_z9ntzFKQ,"Majestic Services | HVAC, Plumbing, Electrical",florida,"St. Petersburg, FL",electricians,"11475 49th Street N Ste 300, Clearwater, FL 33762, USA",(727) 677-3278,https://www.trustmajestic.com/,5.0,31,OPERATIONAL,20251110_101601,True,True,True
ChIJh4tfcJPkwogR9zr9D6WPT9o,Ezell Electric,florida,"St. Petersburg, FL",electricians,"4985 72nd Ave N, Pinellas Park, FL 33781, USA",(727) 800-2232,http://www.ezell-electric.com/,4.8,239,OPERATIONAL,20251110_101601,True,True,True
ChIJF4rahAwew4gRuBEvqZv4-CA,Everingham Electric,florida,"St. Petersburg, FL",electricians,"3620 18th Ave S, St. Petersburg, FL 33711, USA",(727) 422-8455,http://everinghamelectric.com/,4.8,152,OPERATIONAL,20251110_101601,True,True,True
ChIJXW_TXLWt2YgRQVvDcMumxlw,Electrical Services fl,florida,"Hialeah, FL",electricians,"1800 NE 180th St, North Miami Beach, FL 33162, USA",(786) 487-7441,https://electricalservicesfl.com/,4.9,349,OPERATIONAL,20251110_101601,True,True,True
ChIJUcIrp4PI0IQR8VyAam7hAaY,R Ruano General Services,florida,"Hialeah, FL",electricians,"6861 SW 147th Ave, Miami, FL 33193, USA",(305) 290-9783,https://ruanogs.square.site/,4.9,105,OPERATIONAL,20251110_101601,True,True,True
