place_id,name,address,phone,international_phone,website,rating,total_ratings,business_status,types,latitude,longitude,found_in_keywords,found_in_countries,source_country,is_open_now,hours
ChIJM171tVWxe0gRHoLIZ78UfxE,Korean War Memorial Manchester,"St Peter's Sq, Manchester M2 3DF, UK",,,,5.0,1,OPERATIONAL,"establishment, point_of_interest",53.4787265,-2.2431264,Korean War museum,united,united,,
ChIJF4BeCACPbEcR3-yFCJWhlDo,"‎Klub histórie polície, armády a silových zložiek","Sklabinská 8222, 831 06 Bratislava-Rača, Slovakia",,,https://www.facebook.com/khpasz/,5.0,1,OPERATIONAL,"establishment, museum, point_of_interest",48.2030348,17.1711766,military history club,slovakia,slovakia,,
ChIJOQMtx12KTkcRrw0stIV2H_g,Muzeul Comunismului Hunedoara,"Piața Iancu de Hunedoara 3A, Hunedoara 331031, Romania",0768 636 823,+40 768 636 823,https://www.muzeehunedoara.ro/expozitia-comunismului-hunedoara,5.0,2450,OPERATIONAL,"establishment, museum, point_of_interest",45.7548805,22.8950884,"Korean War museum, Soviet memorabilia",romania,romania,False,Monday: 10:00 AM – 6:00 PM | Tuesday: 10:00 AM – 6:00 PM | Wednesday: 10:00 AM – 6:00 PM | Thursday: 10:00 AM – 6:00 PM | Friday: 10:00 AM – 6:00 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 6:00 PM
ChIJ5wgKBbrLNUcR3zkkmwqlFRw,Monumentul dedicat eroilor din al doilea război mondial,"DJ176 131, Moldovița 727385, Romania",,,,5.0,1,OPERATIONAL,"establishment, point_of_interest",47.6879608,25.538407,muzeu al doilea război mondial,romania,romania,True,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours
ChIJuxJUc6X7PEcRgaEHekvpFzg,Zgraja Banitów i Renegatów - grupa rekonstrukcji historycznej Rzeszów,"Miejska 104h/2, 35-317 Rzeszów, Poland",,,https://zgraja.com.pl/,5.0,6,OPERATIONAL,"establishment, point_of_interest",49.9826406,21.9831621,rekonstrukcja historyczna,poland,poland,,
ChIJVVWl_j30vkcRhfpWsn7zhxs,Internationale Reenactmentmesse,"Arienheller 1, 56598 Rheinbrohl, Germany",0173 2609231,+49 173 2609231,http://www.reenactmentmesse.de/p_kontakt_en.htm,5.0,1,OPERATIONAL,"establishment, point_of_interest",50.5110359,7.326693100000001,historical reenactment,germany,germany,,
ChIJA7Y-YdGF2UcR-PrpkdcHrKA,Surplus and Lost,"Building 136, bentwaters, Rendlesham, Woodbridge IP12 2TW, UK",07547 346293,+44 7547 346293,https://surplusandlost.co.uk/,5.0,29,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",52.1322994,1.431421,army surplus,united,united,,
ChIJk9nhuKu62EcRDzWHeymaYmI,Aaron's Surplus Army and Navy LTD.,"43 Upminster Rd S, London RM13 9YS, UK",01708 524915,+44 1708 524915,http://www.aaronssurplus.com/,5.0,433,OPERATIONAL,"clothing_store, establishment, point_of_interest, store",51.5185752,0.1921101,army surplus,united,united,False,Monday: 10:00 AM – 5:30 PM | Tuesday: 10:00 AM – 5:30 PM | Wednesday: 10:00 AM – 5:30 PM | Thursday: 10:00 AM – 5:30 PM | Friday: 10:00 AM – 5:30 PM | Saturday: 10:00 AM – 5:30 PM | Sunday: Closed
ChIJw6-9VGPVokcRPrxmFMi5bWM,Spessart Militaria - Handel mit militärischen Antiquitäten,"Sandstraße 6, 36396 Steinau an der Straße, Germany",06660 9188394,+49 6660 9188394,https://spessart-militaria.de/,5.0,20,OPERATIONAL,"establishment, home_goods_store, point_of_interest, store",50.2588504,9.516568,"Militaria Shop, Militär Sammler, military antiques, military collectibles",germany,germany,False,Monday: 9:00 AM – 6:00 PM | Tuesday: 9:00 AM – 6:00 PM | Wednesday: 9:00 AM – 6:00 PM | Thursday: 9:00 AM – 6:00 PM | Friday: 9:00 AM – 6:00 PM | Saturday: Closed | Sunday: Closed
ChIJi2Jsr-l-CEgRimdazJFP08Y,Vehicules Militaires Historiques Vmh,"9 Rue de la Ternière, 49240 Avrillé, France",02 41 34 50 63,+33 2 41 34 50 63,http://www.vmh-anjou.com/,5.0,3,OPERATIONAL,"establishment, museum, point_of_interest",47.5007089,-0.5966880999999999,military vehicle museum,france,france,,
