place_id,name,address,phone,international_phone,website,rating,total_ratings,business_status,types,latitude,longitude,found_in_keywords,source_file,is_open_now,hours
ChIJi2ya42ORC0cR1ef19PR_l0k,"Klub vojenské historie Wurm, o.s.","23, Tavolníková 1850, 142 00 Praha 4-Krč, Czechia",,,http://www.kvhwurm.cz/,5.0,1,OPERATIONAL,"establishment, point_of_interest",50.0190766,14.460941,"klub historii wojskowej ZSRR, klub vojenske historie, military history club",czech_republic_20251111_120558,,
ChIJ6ze2kiWVC0cRg7-Aa9HkDvs,Library of the Military History Institute in Prague,"Rooseveltova 620/23, 160 00 Praha 6-Bubeneč, Czechia",973 215 544,+420 973 215 544,http://www.vhu.cz/knihovna/,5.0,3,OPERATIONAL,"establishment, library, point_of_interest",50.1038253,14.4003393,"vojenska historie, military history club",czech_republic_20251111_120558,False,Monday: 8:00 AM – 5:30 PM | Tuesday: 8:00 AM – 4:00 PM | Wednesday: 8:00 AM – 5:30 PM | Thursday: 8:00 AM – 4:00 PM | Friday: 9:00 AM – 12:00 PM | Saturday: Closed | Sunday: Closed
ChIJY_BVg1vrC0cRQLozMhXiWgs,Federace klubů historických vozidel ČR,"Nad Okrouhlíkem 2294/11, 182 00 Praha 8, Czechia",605 787 858,+420 605 787 858,http://www.fkhv.cz/,5.0,5,OPERATIONAL,"establishment, point_of_interest",50.1217066,14.4670466,military history club,czech_republic_20251111_120558,,
ChIJzRysVXBFEkcRDcnjK9p9U-s,Armyproduct,"Biskupství 156, 783 44 Náměšť na Hané, Czechia",,,http://www.armyproduct.cz/,5.0,342,OPERATIONAL,"establishment, point_of_interest, store",49.60629369999999,17.0700276,red army reenactment,czech_republic_20251111_120558,True,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours
ChIJG_F-J-5kE0cRd_cAPvGmdEU,Klub vojenské historie Slavičín,"Okružní 659, 763 21 Slavičín, Czechia",608 740 688,+420 608 740 688,,5.0,6,OPERATIONAL,"establishment, point_of_interest",49.0829938,17.8876922,klub vojenske historie,czech_republic_20251111_120558,,
ChIJTQlWMfFt4UYRGt0PxMOw5ks,"Stowarzyszenie Poszukiwaczy Historii ""ELSGRUND""","Budwiecie 20, 19-504, Poland",,,,5.0,1,OPERATIONAL,"establishment, point_of_interest",54.312749,22.498873,stowarzyszenie historyczne,poland_20251111_120558,False,Monday: 7:00 AM – 7:00 PM | Tuesday: 7:00 AM – 7:00 PM | Wednesday: 7:00 AM – 7:00 PM | Thursday: 7:00 AM – 7:00 PM | Friday: 7:00 AM – 7:00 PM | Saturday: 7:00 AM – 7:00 PM | Sunday: Closed
ChIJ3UwWfT9z_UYRPgoYwFpkQQs,"Grupa Rekonstrukcji Historycznych ""Sojusz""","Angielska Grobla 16/2, 80-756 Gdańsk, Poland",609 061 006,+48 609 061 006,,5.0,3,OPERATIONAL,"establishment, museum, point_of_interest",54.3505914,18.6676739,grupa rekonstrukcyjna,poland_20251111_120558,True,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours
ChIJXT9AEzCn_UYR_c5Z8vl6UIs,Stowarzyszenie Marfan Polska (dane historyczne),"Świętojańska 49, 81-391 Gdynia, Poland",601 286 245,+48 601 286 245,,5.0,1,OPERATIONAL,"accounting, establishment, finance, point_of_interest",54.51562000000001,18.5411879,stowarzyszenie historyczne,poland_20251111_120558,False,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: Closed | Friday: Closed | Saturday: 7:00 – 8:00 PM | Sunday: Closed
ChIJuxJUc6X7PEcRgaEHekvpFzg,Zgraja Banitów i Renegatów - grupa rekonstrukcji historycznej Rzeszów,"Miejska 104h/2, 35-317 Rzeszów, Poland",,,https://zgraja.com.pl/,5.0,6,OPERATIONAL,"establishment, point_of_interest",49.9826406,21.9831621,klub rekonstrukcji historycznej,poland_20251111_120558,,
ChIJ_8GJ3vtvAEcR6vDhe8p9c0M,Stowarzyszenie Rekonstrukcji Historycznej REGA,"Muzealna 5, 72-320 Trzebiatów, Poland",,,http://www.srhrega.pl/,5.0,1,OPERATIONAL,"establishment, point_of_interest",54.05913390000001,15.2608497,klub rekonstrukcji historycznej,poland_20251111_120558,True,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Closed | Sunday: Closed
ChIJj5yJvmDMHkcRa4jCEgfkMyk,Ordynariat polowy Wojska Polskiego,"gen. Michała Tokarzewskiego-Karaszewicza 4, 00-068 Warszawa, Poland",22 826 05 68,+48 22 826 05 68,http://www.ordynariat.wp.mil.pl/,4.9,14,OPERATIONAL,"establishment, point_of_interest",52.2412408,21.014928,"military history club, soviet military history",poland_20251111_120558,,
