region,location,keyword,category,results_count,timestamp
czech_republic,Czech Republic,military history club,global_english,29,2025-11-11T11:59:42.315815
czech_republic,Czech Republic,klub historii wojskowej ZSRR,local_polish,7,2025-11-11T11:59:28.144738
czech_republic,Czech Republic,cold war reenactment,specific_periods,4,2025-11-11T11:59:49.304537
czech_republic,Czech Republic,red army reenactment,global_english,2,2025-11-11T11:59:34.933258
czech_republic,Czech Republic,world war 2 reenactment,specific_periods,2,2025-11-11T11:59:46.860220
czech_republic,Czech Republic,soviet military history,specific_periods,1,2025-11-11T11:59:52.027109
czech_republic,Czech Republic,klub rekonstrukcji historycznej,local_polish,0,2025-11-11T11:59:23.542726
czech_republic,Czech Republic,rekonstrukcja armii radzieckiej,local_polish,0,2025-11-11T11:59:25.799253
czech_republic,Czech Republic,rekonstrukcja wojskowa,local_polish,0,2025-11-11T11:59:30.378249
czech_republic,Czech Republic,soviet reenactment club,global_english,0,2025-11-11T11:59:32.599813
czech_republic,Czech Republic,ww2 soviet reenactment,global_english,0,2025-11-11T11:59:37.185998
czech_republic,Czech Republic,historical reenactment society,global_english,0,2025-11-11T11:59:44.568267
poland,Poland,military history club,global_english,28,2025-11-11T11:59:11.678728
poland,Poland,soviet military history,specific_periods,10,2025-11-11T11:59:21.273930
poland,Poland,klub historii wojskowej ZSRR,local_polish,9,2025-11-11T11:58:57.524894
poland,Poland,klub rekonstrukcji historycznej,local_polish,6,2025-11-11T11:58:52.941699
poland,Poland,world war 2 reenactment,specific_periods,5,2025-11-11T11:59:16.376568
poland,Poland,red army reenactment,global_english,3,2025-11-11T11:59:04.416248
poland,Poland,historical reenactment society,global_english,2,2025-11-11T11:59:13.998479
poland,Poland,cold war reenactment,specific_periods,2,2025-11-11T11:59:18.664258
poland,Poland,rekonstrukcja wojskowa,local_polish,1,2025-11-11T11:58:59.931330
poland,Poland,rekonstrukcja armii radzieckiej,local_polish,0,2025-11-11T11:58:55.204195
poland,Poland,soviet reenactment club,global_english,0,2025-11-11T11:59:02.164094
poland,Poland,ww2 soviet reenactment,global_english,0,2025-11-11T11:59:06.721022
