name,phone,website,city,state,address,rating,reviews,niche,business_summary,personalization_angle,has_emergency_service,is_family_owned,targets_residential,targets_commercial
Acme Electrical Services,(813) 878-2263,https://www.acmeelectricalservices.com/,"Tampa, FL",florida,"6707 N Rome Ave, Tampa, FL 33604, USA",4.9,108,electricians,,,,,,
Powerhouse Pro Services,(813) 853-2369,https://www.powerhouseproservices.com/,"Tampa, FL",florida,"4302 W Wisconsin Ave, Tampa, FL 33616, USA",5.0,38,electricians,,,,,,
Energy Today,(813) 738-1575,https://energytoday.biz/tampa?utm_source=google&utm_medium=organic&utm_campaign=Google_ELEC_GMB_NorthTPA&utm_content=Website,"Tampa, FL",florida,"5401 E Sligh Ave, Tampa, FL 33617, USA",4.8,345,electricians,,,,,,
American Electric,(904) 721-4044,https://www.americanelectricofjacksonville.com/,"Jacksonville, FL",florida,"8751 Atlantic Blvd, Jacksonville, FL 32211, USA",4.9,376,electricians,,,,,,
Burbank Electric,(904) 662-1774,http://www.burbankelectricnefl.com/,"Jacksonville, FL",florida,"11227 Guinn Rd, Jacksonville, FL 32218, USA",4.8,145,electricians,,,,,,
Bolt Electric,(904) 977-5454,https://www.boltelectricnfl.com/,"Jacksonville, FL",florida,"1525 Romney St #1, Jacksonville, FL 32211, USA",4.8,424,electricians,,,,,,
Tenax Electrical Company,(904) 604-6100,https://tenaxelectrical.com/,"Jacksonville, FL",florida,"11762 Marco Beach Dr #6, Jacksonville, FL 32224, USA",5.0,20,electricians,,,,,,
Empire Electric Inc.,(904) 365-7777,https://www.empireelec.com/,"Jacksonville, FL",florida,"5810 Macy Ave, Jacksonville, FL 32211, USA",4.9,296,electricians,,,,,,
Robbins Electrical Services Inc.,(561) 763-9575,,"Jacksonville, FL",florida,"7749 Normandy Blvd, Jacksonville, FL 32221, USA",5.0,21,electricians,,,,,,
Electrical Solution us llc,(678) 618-7924,https://electricalsolution.us/,"Miami, FL",florida,"1881 79th Street Causeway, Miami Beach, FL 33141, USA",4.9,115,electricians,,,,,,
S.E. Bates Electric,(786) 304-2328,https://bates-electric.com/locations/miami-fl/,"Miami, FL",florida,"9820 NW 80th Ave Ste 6-C, Hialeah Gardens, FL 33016, USA",4.8,348,electricians,,,,,,
Alex All Electric,(786) 362-9679,https://electricianformiami.com/,"Miami, FL",florida,"8710 SW 42nd Terrace, Miami, FL 33165, USA",4.9,111,electricians,,,,,,
Alex Electric Services Inc,(305) 888-8830,https://alexelectric.net/,"Miami, FL",florida,"2245 W 10th Ct, Hialeah, FL 33010, USA",4.3,55,electricians,,,,,,
Smartlife Electric INC,(305) 833-5328,http://www.smartlifelectric.com/,"Miami, FL",florida,"178 NW 47th Terrace, Miami, FL 33127, USA",5.0,68,electricians,,,,,,
Mr. Electric of Orlando,(407) 329-5796,https://mrelectric.com/orlando/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,"Orlando, FL",florida,"3700 34th St Suite 100B, Orlando, FL 32805, USA",5.0,209,electricians,,,,,,
FRED Electrical Residential Services,(571) 982-9312,,"Orlando, FL",florida,"6452 Vineland Rd unit 106, Orlando, FL 32819, USA",5.0,31,electricians,,,,,,
FC ELECTRIC GROUP LLC,(786) 602-6289,,"Orlando, FL",florida,"10514 Green Ivy Ln, Orlando, FL 32832, USA",5.0,21,electricians,,,,,,
Palmer Electric Company,(407) 646-8700,https://www.palmer-electric.com/,"Orlando, FL",florida,"MAIN OFFICE, 875 Jackson Ave, Winter Park, FL 32789, USA",4.3,160,electricians,,,,,,
Central Florida Electrician,(407) 801-0126,https://centralfloridaelectrician.com/,"Orlando, FL",florida,"243 N Texas Ave, Orlando, FL 32805, USA",4.9,116,electricians,,,,,,
MTK Electric Inc,(407) 538-4237,https://mtkelectric.com/,"Orlando, FL",florida,"1881 Lee Rd, Winter Park, FL 32789, USA",5.0,144,electricians,,,,,,
Super Fast Electric,(407) 789-1550,https://superfastelectric.com/,"Orlando, FL",florida,"1070 Bunnell Rd B2, Altamonte Springs, FL 32714, USA",5.0,239,electricians,,,,,,
DH Electric,(407) 487-8445,,"Orlando, FL",florida,"3499 Seagrape Dr, Winter Park, FL 32792, USA",4.9,72,electricians,,,,,,
Blue Collar Electric,(727) 853-6022,https://www.bluecollar-electric.com/,"St. Petersburg, FL",florida,"1301 Seminole Blvd #113, Largo, FL 33770, USA",4.9,661,electricians,,,,,,
M.R. Electricians,(727) 475-4956,https://mrelectricians.us/,"St. Petersburg, FL",florida,"9225 Ulmerton Rd STE J, Largo, FL 33771, USA",4.9,250,electricians,,,,,,
Luminous Electric,(727) 954-4666,https://lumelect.com/,"St. Petersburg, FL",florida,"3350 Ulmerton Rd ste 20, Clearwater, FL 33762, USA",4.8,530,electricians,,,,,,
"Live Wire Electrical Services, Inc.",(727) 531-2500,http://www.livewireelectrical.org/,"St. Petersburg, FL",florida,"12141 62nd St N, Largo, FL 33773, USA",4.7,138,electricians,,,,,,
"Doolbar Electrical Contracting Services, LLC",(954) 459-7407,https://doolbarelectricalcontracting.com/,"St. Petersburg, FL",florida,"7701 Starkey Rd APT 437, Seminole, FL 33777, USA",5.0,56,electricians,,,,,,
TR Electric,(727) 686-7059,https://trelectric.pro/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile_largo,"St. Petersburg, FL",florida,"8300 Ulmerton Rd Suite 126, Largo, FL 33771, USA",4.9,137,electricians,,,,,,
Fivestar Electricians,(727) 509-8374,https://fivestarelectrician.wixstudio.com/5starelectricians,"St. Petersburg, FL",florida,"600 76th Ave N, St. Petersburg, FL 33702, USA",4.8,20,electricians,,,,,,
JL Local Electricians,(813) 705-6644,,"St. Petersburg, FL",florida,"2800 4th St S, St. Petersburg, FL 33705, USA",4.7,20,electricians,,,,,,
Everingham Electric,(727) 422-8455,http://everinghamelectric.com/,"St. Petersburg, FL",florida,"3620 18th Ave S, St. Petersburg, FL 33711, USA",4.8,152,electricians,,,,,,
Electrical Services fl,(786) 487-7441,https://electricalservicesfl.com/,"Hialeah, FL",florida,"1800 NE 180th St, North Miami Beach, FL 33162, USA",4.9,349,electricians,,,,,,
R Ruano General Services,(305) 290-9783,https://ruanogs.square.site/,"Hialeah, FL",florida,"6861 SW 147th Ave, Miami, FL 33193, USA",4.9,105,electricians,,,,,,
Miami Speedy Commercial Electricians,(305) 787-3971,,"Hialeah, FL",florida,"645 NE 167th St #8000, Miami, FL 33162, USA",4.9,137,electricians,,,,,,
GT Electric,(850) 655-0868,https://gtelectricfl.com/?utm_campaign=gmb,"Tallahassee, FL",florida,"3154 Eliza Rd, Tallahassee, FL 32308, USA",4.6,155,electricians,,,,,,
Chad O'Hara's Quality Electrical Services Inc.,(850) 666-3375,,"Tallahassee, FL",florida,"1130 Thomasville Rd, Tallahassee, FL 32303, USA",4.0,35,electricians,,,,,,
Fraser Electric Inc.,(850) 575-3628,https://fraserelectric.com/,"Tallahassee, FL",florida,"5084 Louvinia Dr, Tallahassee, FL 32311, USA",4.3,39,electricians,,,,,,
Joel Foy Electrical Service,(850) 562-3691,https://joelfoyelectric.com/,"Tallahassee, FL",florida,"5650 Gum Rd, Tallahassee, FL 32304, USA",4.8,634,electricians,,,,,,
Truevolt Electrical Services Inc,(850) 443-0896,http://www.truevoltelectric.com/,"Tallahassee, FL",florida,"4786 Woodlane Cir Apartment A, Tallahassee, FL 32303, USA",4.9,147,electricians,,,,,,
Macon Electric LLC,(850) 510-0943,https://usmapiz.org/details/macon-electric-llc-ChIJy8f,"Tallahassee, FL",florida,"10720 Sycamore Ridge Ln, Tallahassee, FL 32305, USA",5.0,20,electricians,,,,,,
Lawson & Lawson Electrical Services,(850) 562-4111,http://www.llelectrical.com/,"Tallahassee, FL",florida,"5019 Metzke Ln, Tallahassee, FL 32303, USA",4.7,138,electricians,,,,,,
New Dimension Electrical Service,(772) 292-9839,https://www.ndelectricalservice.com/electrician-in-port-st-lucie,"Port St. Lucie, FL",florida,"2065 SE Allamanda Dr, Port St. Lucie, FL 34952, USA",4.9,85,electricians,,,,,,
Wire it up with Lindor Electric,(772) 867-2838,https://wireitupwithlindorelectric.info/,"Port St. Lucie, FL",florida,"401 SW Meadow Terrace, Port St. Lucie, FL 34984, USA",5.0,102,electricians,,,,,,
Mast Electric Inc.,(772) 238-1851,https://mastelectricinc.com/,"Port St. Lucie, FL",florida,"1108 SW 28th St, Palm City, FL 34990, USA",4.9,68,electricians,,,,,,
MOV Electric Solutions Corp,(772) 626-8802,,"Port St. Lucie, FL",florida,"832 SW Hamberland Ave, Port St. Lucie, FL 34953, USA",4.9,25,electricians,,,,,,
Stott Brothers Electric,(772) 276-4443,https://www.stottbrothers.com/,"Port St. Lucie, FL",florida,"1298 SW Biltmore St suite f, Port St. Lucie, FL 34983, USA",4.9,567,electricians,,,,,,
Stryker Electric & Air,(772) 219-3389,http://www.strykerelectric-air.com/,"Port St. Lucie, FL",florida,"4241 SW High Meadow Ave, Palm City, FL 34990, USA",4.9,182,electricians,,,,,,
"Go Local Electric, LLC",(772) 237-2351,http://www.golocalelectric.com/,"Port St. Lucie, FL",florida,"660 SE Monterey Rd, Stuart, FL 34994, USA",4.9,32,electricians,,,,,,
Excel Electric LLC,(561) 459-8825,https://www.excelelectricsouthflorida.com/,"Port St. Lucie, FL",florida,"534 NW Mercantile Pl Unit E-110, Port St. Lucie, FL 34986, USA",4.8,247,electricians,,,,,,
Gault Electric South,(239) 560-9974,http://gaultelectricsouth.com/,"Cape Coral, FL",florida,"2545 Surfside Blvd, Cape Coral, FL 33914, USA",4.7,96,electricians,,,,,,
D & R Electrical Services,(239) 541-2015,,"Cape Coral, FL",florida,"2783 N Airport Rd, Fort Myers, FL 33907, USA",4.4,24,electricians,,,,,,
"Young's Electrical Contracting, Inc.",(239) 574-1288,http://www.youngselectric.biz/,"Cape Coral, FL",florida,"413 NE Van Loon Ln #116, Cape Coral, FL 33909, USA",4.3,56,electricians,,,,,,
Mr. Electric of Southwest Florida,(239) 829-4396,https://mrelectric.com/southwest-florida?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,"Cape Coral, FL",florida,"2673 NE 9th Ave, Cape Coral, FL 33909, USA",4.4,76,electricians,,,,,,
Southern Power Electric,(239) 963-5987,https://southernpowerelectric.com/,"Cape Coral, FL",florida,"2275 Bruner Ln #5, Fort Myers, FL 33912, USA",4.7,25,electricians,,,,,,
York Electric & Design LLC,(239) 789-8457,https://www.york-electric.com/,"Cape Coral, FL",florida,"2307 Bruner Ln #7, Fort Myers, FL 33912, USA",4.6,37,electricians,,,,,,
