place_id,name,website,phone,address,processing_status
ChIJ8YVkSC8HoUcR6IL6LuQYGeI,Milantik,https://www.milantik.de/,0171 4468022,"Wunsiedler Str. 25, 95163 Weißenstadt, Germany",scraping_failed
ChIJueT5neeZFEcRxPX0ffokahQ,ARMYSOFT,http://armysoft.sk/,0950 730 730,"Pionierska 423/19, X548+H9, 01841 Dubnica nad Váhom, Slovakia",scraping_failed
ChIJN5zj4nTNxUcRbYk-8n4oHzw,Oorlogsmuseum Depot 40-45,https://museum-depot-40-45.jimdosite.com/,06 31325093,"Rembrandtlaan 2, 2665 XG Bleiswijk, Netherlands",scraping_failed
ChIJOQMtx12KTkcRrw0stIV2H_g,Muzeul Comunismului Hunedoara,https://www.muzeehunedoara.ro/expozitia-comunismului-hunedoara,0768 636 823,"Piața Iancu de Hunedoara 3A, Hunedoara 331031, Romania",scraping_failed
ChIJF4BeCACPbEcR3-yFCJWhlDo,"‎Klub histórie polície, armády a silových zložiek",https://www.facebook.com/khpasz/,,"Sklabinská 8222, 831 06 Bratislava-Rača, Slovakia",scraping_failed
ChIJPbIx2GtBdkgRy6MGFRpwOzE,Watling Militaria,https://www.watlingmilitaria.com/contact.php,07779 242121,"7 Pamela Ave, Hemel Hempstead HP3 9NT, UK",scraping_failed
ChIJ8848vO6DQIgRYHZkrUpLTzA,Korean War Gallery,https://www.nationalmuseum.af.mil/Portals/7/documents/maps/nmusaf_map.pdf,,"Riverside, OH 45431, USA",scraping_failed
ChIJc1otc-IPdkgRZ29o7aWSX2U,Colonial Soldier,https://www.colonialsoldier.com/,07776 183343,"141-149 Portobello Rd, London W11 2DY, UK",scraping_failed
ChIJsXwkrcQHZUgRqHLwaZSL5PU,"Pete The Hat Militaria, Antiques & Collectables",https://m.facebook.com/people/Pete-The-Hat-Militaria-Antiques-and-Collectables/100063839724031/,07784 519900,"Unit 14 (Old H. Samuels, unit The, Deiniol Centre, Bangor LL57 1NW, UK",scraping_failed
ChIJNfhzBEqHrkcR6gujy7zUurA,Militärhistorisches Museum Neustadt-Glewe „Der Dachboden der NVA“,http://facebook.com/DachbodenNVA,0171 6902097,"Breitscheidstraße 11, 19306 Neustadt-Glewe, Germany",scraping_failed
ChIJ15BdXZOn2EcRwSUcsWouJDw,"G Company, 7th. Battalion: The Rifles Army Reserve Centre",https://www.army.mod.uk/who-we-are/corps-regiments-and-units/infantry/the-rifles/reserve-rifles/,,"168B Portway, London E15 3QN, UK",scraping_failed
ChIJtSjOuF-s2EcRwydkV3Ajrx4,Swansons Militaria,https://www.ebay.co.uk/str/swansonsmilitaria,07946 441851,"Haddon Rd, Orpington BR5 4BU, UK",scraping_failed
ChIJSVrvKwCLJRMReGiUe8PzVLU,Museo Storico del Corpo Militare A.C.I.S.M.O.M.,https://www.esercito.difesa.it/Corpo-Militare-ACISMOM/Pagine/Museo-Storico-del-Corpo-Militare.aspx,,"Giuliano-Dalmata, 00143 Rome, Metropolitan City of Rome Capital, Italy",scraping_failed
ChIJd8YU4z_wwIcRd_JfUz6OCUU,Missouri Korean War Veterans Memorial,http://mokoreanwarmemorial.org/,,"174 E Pershing Rd, Kansas City, MO 64108, USA",scraping_failed
ChIJp-f5ms4rx0cRkL6VbyE21QI,Oorlogsmuseum Toen het Donker was,https://www.toenhetdonkerwas.nl/,06 13494799,"Burgemeester van Houtstraat 1, 6021 AR Budel, Netherlands",scraping_failed
