company_name,domain,website_url,linkedin_url,industry,sub_industry,employee_count,revenue,revenue_range,location_city,location_state,location_country,founded_year,technologies,keywords,description,phone,lead_score,collection_date,notes,target_persona,enrichment_priority
KKBC - B2B Marketing Agency,kkbc.co,http://www.kkbc.co,http://www.linkedin.com/company/kkbc-co,marketing & advertising,,65,5000000.0,5M,San Francisco,California,United States,2009,,"b2b marketing, technology marketing, global marketing, advertising services, campaign analytics, management consulting, tech industry, creative services, cross-cultural marketing, multinational clients, enterprise software marketing, public relations, corporate branding, digital transformation marketing, corporate communications, website support, abm, us stock exchange clients, client engagement, client retention, market analysis, tech industry growth strategies, social media management, roi optimization, content creation, information technology and services, market research, international marketing strategies, content marketing, roi analysis, lead generation, digital channels, performance metrics, event management, b2b tech marketing, tech sector marketing, social media campaigns, multilingual content, brand positioning, marketing and advertising, demand generation, japanese market support, client relationship management, media buying, seo, marketing strategy, market expansion, data-driven marketing, digital campaign analytics, market entry strategies, account-based marketing, client support, campaign management, market penetration, multilingual marketing, global tech markets, b2b demand generation, multinational b2b, digital advertising, digital marketing, b2b, consulting, services, management consulting services, brand awareness, social media marketing, business consulting, web design, mobile app development, marketing & advertising, public relations & communications, information technology & services, sales, events services, marketing, search marketing, consumer internet, consumers, internet, software development",,+1 877-212-4525,70,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Bloom | Digital Marketing Agency,makeitbloom.com,http://www.makeitbloom.com,http://www.linkedin.com/company/makeitbloom,marketing & advertising,,86,5338000.0,5.3M,Montreal,Quebec,Canada,2007,,"search engine marketing, marketing, advertising, ppc, sem, paid search, search, web analytics, ppc management, google adwords, facebook ads, bing ads, seo, search engine optimization, remarketing, google shopping, programmatic, cro, google ads, social media advertising, conversion rate optimization, digital marketing strategy, digital marketing, digital advertising, amazon ads, influencer marketing, email marketing, social media content creation, search marketing, consumer internet, internet, information technology, advertising services, brand acceleration, google premier partner, performance analytics, linkedin ads, platform integration, creative design, custom content creation, data analytics, shopify marketing, email campaign management, social media influencer outreach, real-time analytics, media planning tools, cross-platform ad management, performance metrics, affiliate marketing, ecommerce store optimization, ad copywriting, industry sectors, data-fueled, customer journey mapping, data-driven insights, platform-specific tools, campaign tracking, programmatic display ads, client portfolio, paid media management, cookie erosion strategies, social media strategy, a/b testing, retail, performance marketing, industry-specific strategies, ad platform analytics, digital advertising platforms, spend management tools, agility and flexibility, tiktok ads, market segmentation, audience targeting, programmatic advertising, performance marketing methodology, finance, digital marketing services, local seo tactics, campaign optimization tools, e-commerce, customer engagement, customer data platform integration, proprietary media modeling, roi focus, platform-specific advertising, multi-platform ad synchronization, content creation tools, education, marketing automation, client relationships, performance marketing automation, ad performance optimization, performance marketing analytics, ecommerce marketing, media buying, performance-driven, media planning, digital branding, industry expertise, market-specific campaigns, full-funnel marketing, social media management, manufacturing, microsoft partner, digital transformation, visual content creation, privacy-first solutions, ad platform management, performance reporting, market analysis, brand identity integration, brand strategy, multi-channel campaigns, conversion funnel optimization, real-time campaign adjustment, market research tools, audience segmentation, influencer campaign management, performance marketing for b2b, creative content, campaign reporting, multi-channel marketing, ad spend management, performance metrics tracking, client-centric approach, content creation, content marketing, digital branding for retail, creatively innovative, digital strategy, real estate, meta business partner, digital signage campaigns, pharmaceuticals, video advertising on youtube, organic traffic, client growth, target audience analysis, conversion tracking, budget monitoring, campaign optimization, roas, b2b, b2c, d2c, consulting, services, advertising agencies, paid media, lead generation, online presence, startups, analytics, community management, advertising agency, conversion optimization, retargeting, customer journey, digital assets, brand awareness, marketing & advertising, information technology & services, consumers, financial services, saas, computer software, enterprise software, enterprises, mechanical or industrial engineering, medical, sales",,+1 514-667-7181,67,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Attrock - Digital Marketing Agency,attrock.com,http://www.attrock.com,http://www.linkedin.com/company/attrock---digital-marketing-company,marketing & advertising,,37,0,,Miami Beach,Florida,United States,2015,,"digital marketing, influencer outreach, content writing, seo, mobile app marketing, conversion rate optimization, influencer marketing, outreaching, brand mentions, guest post service, social media, public relation, advertising services, content marketing tools, content marketing campaigns, social media marketing, lead generation services, campaign management, schema markup generator, content marketing agency, podcast launch services, marketing and advertising, video editing services, performance tracking, content marketing for e-commerce, ssl checker, seo tools, ai content detector, content marketing strategy, content creation, content campaigns, public relations, online pr services, content optimization, email marketing services, content marketing, content reporting, content distribution, content amplification, landing page optimization, content marketing roi, content marketing for saas, seo optimization, meta tag generator, image compression, content promotion, guest posting services, seo services, content marketing services, content audit, affiliate marketing, link building services, robots txt generator, influencer marketing services, content strategy, b2b, e-commerce, d2c, consulting, services, retail, management consulting services, lead generation, email marketing, brand awareness, link building, marketing automation, customer engagement, digital advertising, market research, marketing & advertising, writing & editing, information technology & services, search marketing, marketing, consumer internet, consumers, internet, public relations & communications, sales, saas, computer software, enterprise software, enterprises",,+1 786-591-7740,65,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Amaytics-A Digital Marketing Agency,amaytics.com,http://www.amaytics.com,http://www.linkedin.com/company/amaytics,marketing & advertising,,13,0,,Melbourne,Victoria,Australia,2020,,"advertising services, domain registration, ppc management, magento, website design, facebook ads, marketing and advertising, b2b marketing, ux/ui design, website hosting, seo services, lead generation, digital analytics, ground insights, web development, ecommerce development, seo, online advertising, ai-driven analytics, social media marketing, shopify, wordpress, branding, reputation management, performance marketing, google ads, cross-platform advertising, content creation, digital campaign management, digital marketing, custom solutions, cms platforms, market analysis, local business marketing, ppc, mobile app development, b2c marketing, personal branding, digital strategy, branding services, local seo, vernacular social media, online marketing, email marketing, digital reputation, influencer marketing, google partner, political branding, information technology and services, content marketing, digital marketing agency, b2b, b2c, e-commerce, d2c, consulting, services, retail, management consulting services, marketing & advertising, web design, information technology & services, search marketing, marketing, sales, consumer internet, consumers, internet, software development",,,62,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Growthlabs | B2B Marketing Agency,growth-labs.co.uk,http://www.growth-labs.co.uk,http://www.linkedin.com/company/growthlabs,marketing & advertising,,16,0,,Southend-on-Sea,England,United Kingdom,2016,,"integrated marketing, digital marketing, social media marketing, seo, sem, graphic design, content marketing, crm, ppc, email marketing, smo, marketing strategy, web development, content creation, copywriting, video production, advertising services, target audience, technology and human expertise, campaign optimization, performance monitoring, performance tracking, client success, seo optimization, business services, data-driven decisions, long-term growth, digital marketing strategies, ppc advertising, customer engagement, cybersecurity marketing, customer insights, higher education marketing, multi-channel campaigns, information technology and services, marketing and advertising, growth consultancy, website development, b2b marketing, sector-specific marketing, digital channels, search engine marketing, b2b saas marketing, personalized marketing, market analysis, growth strategies, social media management, growth mindset, management consulting, analytics and insights, revenue growth, data-driven marketing, healthtech marketing, digital transformation, platform integration, brand visibility, public sector marketing, lead generation, video marketing, personalized campaigns, scalable solutions, industrial manufacturing marketing, b2b, government, consulting, services, management consulting services, marketing & advertising, consumer internet, consumers, internet, information technology & services, search marketing, marketing, sales, enterprise software, enterprises, computer software, writing & editing",,+44 34 5475 0700,60,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Generate UK | B2B Digital Marketing Agency,generateuk.co.uk,http://www.generateuk.co.uk,http://www.linkedin.com/company/generate-uk,marketing & advertising,,15,1200000.0,1.2M,Theale,England,United Kingdom,2008,,"digital marketing, seo, ppc, website design, email marketing, social media, video marketing, video production, b2b marketing, lead generation, demand generation, content marketing, website development, marketing services, market research, digital campaign management, customer service excellence+ accreditation, professional services marketing, social media marketing, technical seo, information technology and services, virtual marketing managers, search engine optimization, marketing and advertising, brand development, social media management, digital strategy development, multi-channel marketing, outsourced marketing, full-service agency, professional, scientific, and technical services, e-commerce solutions for b2b, market segmentation, digital strategy, paid social ads, manufacturing, pay-per-click advertising, customer engagement, b2b digital marketing, content creation, growth hacking, b2b saas marketing, digital marketing agency, campaign optimization, digital transformation support, lead nurturing, life sciences digital campaigns, support & maintenance, performance analytics, manufacturing digital marketing, b2b, e-commerce, consulting, services, advertising agencies, marketing & advertising, information technology & services, search marketing, marketing, web design, consumer internet, consumers, internet, sales, web development, mechanical or industrial engineering",,+44 163 588 7711,85,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Because of Marketing,becauseofmarketing.com,http://www.becauseofmarketing.com,http://www.linkedin.com/company/becauseofmarketing,information technology & services,"marketing & advertising, online media",43,0,,Edinburgh,Scotland,United Kingdom,2020,,"marketing, advertising, creativity, marketing news, marketing campaign, advertising news, marketing journal, technology, information & media, marketing community, media coverage, campaign strategy, content creation, marketing professionals, industry insights platform, brand engagement, marketing analytics tools, marketing analytics, marketing storytelling, industry news analysis, campaign performance metrics, marketing news coverage, creative marketing, digital marketing tools, campaign planning, brand insights, campaign case studies, social media marketing, media analysis, brand marketing, industry analysis, curated marketing stories, advertising campaigns, global marketing trends, marketing data analytics, marketing analysis, brand collaboration insights, trend forecasting, marketing research, marketing industry, social media campaigns, marketing community engagement, digital marketing strategy, trend forecasting tools, industry news reporting, social media marketing trends, campaign analysis platform, marketing publication, creative campaigns, marketing innovation strategies, digital advertising campaigns, marketing strategy, campaign case study analysis, campaign coverage, media and publishing, marketing innovation, marketing strategy development, marketing inspiration, campaign planning tools, campaign analysis, marketing stories, marketing news updates, digital content creation, marketing network, creative campaign strategies, content marketing, marketing insights platform, marketing resources, brand storytelling case studies, global marketing, digital marketing insights, brand storytelling, industry trend analysis, industry trends, digital advertising, digital marketing, marketing content, marketing data, brand collaborations, marketing audience, marketing platform, media brand, brand collaboration campaigns, brand stories, marketing trend forecasting, marketing trends, digital content, marketing and advertising, campaign effectiveness analysis, brand storytelling techniques, brand campaigns, industry insights, marketing analysis tools, brand engagement strategies, marketing insights, marketing content analysis, industry news, b2b, web search portals, libraries, archives, and other information services, brand strategy, customer engagement, customer retention, customer relationship management, market research, e-commerce, online presence, information technology & services, consumer internet, consumers, internet, marketing & advertising, enterprise software, enterprises, computer software, crm, sales",,,67,2025-09-04,Premium marketing agency - information technology & services,Marketing Director/VP/Founder,High
Taylor & Pond Digital Marketing Agency,taylorpond.com,http://www.taylorpond.com,http://www.linkedin.com/company/taylorpond,marketing & advertising,,12,15600000.0,15.6M,San Diego,California,United States,1995,,"web design, web development, social media campaigns, digital strategy, integrated marketing, branding, mobile, tablet, responsive development, gui, databases, beauty, fashion industry, health, wellness industry, entertainment industry, education, nonprofits, pr, public relations, influencer marketing, email marketing, advertising, media management, retail optimization, influencer events, cosmetics, skin care, nails, advertising services, email & crm marketing, cross-channel marketing, brand protection services, marketplace optimization, marketplace reseller control, performance analytics, brand strategy, retail, brand differentiation, retail media, ecommerce growth, marketplace analytics, conversion rate optimization, amazon advertising, influencer partnerships, data-driven growth, marketplace reseller enforcement, marketplace performance dashboards, beauty & wellness, digital marketing, brand strategy & creative content, marketplace ecosystem, retail media strategies, performance marketing, health & personal care, retail media analytics, content enhancement, operational excellence, global reach, marketplace advertising, brand protection, conversion optimization, marketplace data integration, marketplaces channels, global expansion, customer service optimization, custom ecommerce solutions, data-driven insights, d2c marketing, ecommerce optimization, customer retention, omnichannel marketing, customer experience, seo & paid search, social media strategy, consumer packaged goods, marketplace management, content creation, social media advertising, b2b lead generation, marketing & advertising, web design & development, b2b marketing, marketplace expansion, amazon 1p & 3p management, omnichannel customer journey, international marketplace launches, omnichannel strategy, catapult business intelligence, supply chain logistics, proprietary technology, e-commerce, amazon marketplace growth, marketplace operations, customer engagement, proprietary business intelligence (catapult), b2b, b2c, d2c, consulting, services, advertising agencies, information technology & services, marketing, internet, enterprise software, enterprises, computer software, nonprofit organization management, apparel & fashion, consumer internet, consumers",,+1 619-297-3742,85,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
Hospitality News,,,http://www.linkedin.com/company/hospitalityworldnews,hospitality,"leisure, travel & tourism, events services",41,6000000.0,6M,Bethesda,Maryland,United States,2011,,"hospitality, hotels, catering, jobs, careers, menu, tourism, front office, events, mice, travel, guest, business networking, hospitality stakeholders, hospitality community platform, hotel industry content management, hotel brands, information technology and services, content dissemination, hotel industry insights, hospitality events, content database, hospitality content distribution system, content syndication network, content curation, content syndication system, content sharing platform, hospitality industry content aggregator, digital content management, market intelligence platform, content sharing technology, hotel industry news, media platform, hospitality sector content sharing, hospitality networking, hospitality content platform, business development, content feed, hospitality content, content publishing system, hospitality news portal, industry information system, content management system, media distribution, content sharing network, content management solution, content sharing, hotel industry research, hotel marketing insights, hotel industry, industry collaboration, hospitality associations, market intelligence, content syndication, industry analysis, hotel marketing platform, hotel industry content sharing system, hospitality innovation, digital media, content aggregation, hospitality industry content network, industry database, hotel industry content platform, industry analytics, hospitality sector news, industry collaboration tools, industry insights database, hotel industry information, hotel industry content syndication, hospitality industry data, professional networking, hotel industry content system, hospitality industry news, content distribution, hospitality technology, industry news updates, hospitality sector content distribution, hotel sector insights, hospitality industry content hub, content publishing, hospitality services, hotel content database, global hospitality, hospitality sector analysis, hospitality data analytics, hotel technology, hospitality information, industry data platform, hospitality industry collaboration, hospitality industry support, professional development, hospitality education, hospitality industry intelligence, hotel content sharing, networking platform, hospitality platform, hotel industry trends, media hub, hospitality research, industry insights platform, media platform for hospitality, hospitality community, hotel industry updates, market research, content management, hospitality content syndication, hospitality content management system, hospitality ecosystem, hospitality industry analytics, media and publishing, industry news, hotel marketing, industry trends, content aggregation technology, hospitality news, hospitality market insights, industry news portal, hospitality sector support, hospitality data, hotel sector news, hospitality sector, b2b hospitality, content management platform, industry news service, hospitality content aggregator, hotel industry networking, market analysis tools, hospitality sector data, travel industry, industry insights, b2b, services, web search portals, libraries, archives, and other information services, hotel management, customer engagement, digital marketing, digital advertising, leisure, travel & tourism, information technology & services, media, marketing & advertising",,,75,2025-09-04,Premium marketing agency - hospitality,Marketing Director/VP/Founder,High
Pretty Little Marketer,prettylittlemarketer.com,http://www.prettylittlemarketer.com,http://www.linkedin.com/company/prettylittlemarketer,marketing & advertising,,16,0,,London,England,United Kingdom,2020,,"marketing services, social media community, social media trend updates, influencer collaborations, digital marketing, industry partnerships, expert q&as, brand storytelling, marketing strategy, community building, social media strategy templates, content templates, marketing resources, community networking, industry insights, community platform, personal branding, marketing and advertising, social media trends, online community, social media insights, brand strategy, community support tools, digital community management, influencer marketing, marketing consultancy, community engagement, digital marketing tips, social media marketing, community support, content creation tools, social media growth, social media tools, social media trends 2025, brand storytelling techniques, marketing education, social media marketing resources, social media management, content planning, online marketing education, community building strategies, community networking events, brand partnerships, marketing trends, social media growth hacks, content creation, social media growth strategies, marketing tips, content marketing, social media analytics, community engagement tools, social media campaigns, social media content calendar, digital community, trend updates, social media strategy, social media coaching, brand collaborations, social media marketing tips, social media analytics tools, b2c, consulting, services, social media, marketing, marketing & advertising, marketing consulting, b2b, management consulting, consumer internet, consumers, internet, information technology & services",,,65,2025-09-04,Premium marketing agency - marketing & advertising,Marketing Director/VP/Founder,High
