"﻿""title""",totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,accessible,is_dynamic,emails_found,emails,check_status,scraped_content_length,ai_summary_status,business_type,services,owner_name,personalization_hooks,target_market,pain_points,ai_error
Gene James Air Conditioning & Heating,4.6,8,108 W Cash St,Iowa Park,Texas,US,https://airconditioningwf.com/,(940) 592-9333,HVAC contractor,https://www.google.com/maps/search/?api=1&query=Gene%20James%20Air%20Conditioning%20%26%20Heating&query_place_id=ChIJJYyRH087U4YRmfUJQqm_gXk,Yes,No,2,genejames@airconditioningwf.com; genejames@airconditioningwf.comlicense,success,2585,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
All-Pro Mowing and Landscaping,5,23,7511 W McCormick Rd,Amarillo,Texas,US,http://allpromow.com/,(806) 910-6566,Landscaper,https://www.google.com/maps/search/?api=1&query=All-Pro%20Mowing%20and%20Landscaping&query_place_id=ChIJy1EsgqpDAYcR2Ihli02U9C8,Yes,No,1,clayallpro1@gmail.com,success,1664,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Verde Landscape Companies,4.4,30,6650 Canyon Dr Unit 4,Amarillo,Texas,US,http://www.verdelandscape.com/,(844) 998-3733,Landscape designer,https://www.google.com/maps/search/?api=1&query=Verde%20Landscape%20Companies&query_place_id=ChIJDcS4fi5IB4cRak0xqZN08zM,Yes,No,2,998-3733office@verdelandscape.comback; office@verdelandscape.com,success,2759,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Toot'n Totum Car Care Center (Dalhart),4.2,72,410 Liberal St,Dalhart,Texas,US,https://www.tootntotum.com/carcare,(806) 244-0707,Auto repair shop,https://www.google.com/maps/search/?api=1&query=Toot'n%20Totum%20Car%20Care%20Center%20(Dalhart)&query_place_id=ChIJlyuRYs-2BYcRQI0LMFKctxE,Yes,No,0,,success,5248,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
TX Elite Repair & Service LLC,5,26,3345 Spur 24,Dalhart,Texas,US,http://txelite.net/,(806) 418-5505,Truck repair shop,https://www.google.com/maps/search/?api=1&query=TX%20Elite%20Repair%20%26%20Service%20LLC&query_place_id=ChIJ0Uybh563BYcRWOMh2vPCbpo,Yes,No,3,joedon.henry@outlook.comhoursopen; henryjoedon.henry@outlook.com; joedon.henry@outlook.com,success,2266,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Flatland Roofing & Insulation,5,43,706 Elm St,Hartley,Texas,US,https://flatlandroofinginsulation.com/?utm_source=gbp,(806) 606-6794,Insulation contractor,https://www.google.com/maps/search/?api=1&query=Flatland%20Roofing%20%26%20Insulation&query_place_id=ChIJPz4Kibk1BIcR29UlEl6eKn0,Yes,No,1,info@flatlandroofinginsulation.com,success,4664,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Mean Green Lawn and Tree service,4.5,33,,,,,http://www.meangreenls.com/,(940) 444-6525,Lawn care service,https://www.google.com/maps/search/?api=1&query=Mean%20Green%20Lawn%20and%20Tree%20service&query_place_id=ChIJ_1Mko5chU4YRn-l8sGojjl0,Yes,No,1,jjohnson@meangreenls.com,success,1782,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
SJH Landscape,5,36,,,,,http://sjhlandscape.com/,(806) 440-7583,Landscaper,https://www.google.com/maps/search/?api=1&query=SJH%20Landscape&query_place_id=ChIJIbOjvdxLZ00RXoONOESl9jE,Yes,No,1,landscape806-440-7583contact@sjhlandscape.com,success,1880,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Terra Landscape,5,3,2305 Brook Hollow Dr,Wichita Falls,Texas,US,https://www.terralandscapetx.com/,(940) 500-4105,Landscape architect,https://www.google.com/maps/search/?api=1&query=Terra%20Landscape&query_place_id=ChIJfeRLQsjSBoMR8pEVDMS6OOo,Yes,No,1,info@terralandscapetx.com,success,902,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
Schroeder Legacy Lawn Care,5,1,,,,,https://schroederlegacylawn.onuniverse.com/,(940) 337-5326,Lawn care service,https://www.google.com/maps/search/?api=1&query=Schroeder%20Legacy%20Lawn%20Care&query_place_id=ChIJifZHWuSLF6ARaNCnqquw5_U,Yes,No,1,schroederlegacylawn@gmail.com,success,524,ai_failed_error,,,,,,,The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
